DATE,HOTEL/FIRM,CODE,"JOB DESCRIPTION",JOB.,QTY,PRICE,AMOUNT,PAPER,COLOR,งานหลังพิมพ์,จำนวนเที่ยววิ่ง,ช่างอาร์ต,เครื่องพิมพ์,ช่างพิมพ์,COOR,NEW/OLD,วันที่เสร็จ,TEL.
11-11-22,"khun chan ",,card,80773,1,100,100,"art 300 g ","cmyk 1 side ","matt pvc 2 side ",,ปัด,"Digital Print","laser ",ตา,N,11-11-22,
11-11-22,"บ.ภิรมย์ละไม จำกัด (น้ำดื่มพอลลิ่ง)",O,"sticker  ติดขวด",80680,3000,.55,1650,"pp matt","cmyk 1 side ",dicut,,โอ๋,"Digital Print","laser ",ตา,N,11-11-22,
11-11-22,"Centara reserve",,ถุงใส่กางเกงใน,80473,1000,3.6,3600,"คราฟน้ำตาล 110 แกรม","1 สี คือ น้ำเงิน","dicut ประกอบ",,PL,GTO,เมฆ,ตา,N,20-12-23,
11-11-22,"Silavadee Pool Spa Resort",H,nc,80769,300,450,1350,"olin smoth absolute white 250 g ","cmyk 2 side ",,,โอ๋,"Digital Print","laser ",ตา,O,11-11-22,
11-11-22,"Lamai Dental Care",O,ใบเสร็จรับเงิน,80652,50,65,3250,"เคมี 2 ขาว เหลือง","1 สี คือ ดำ ","รันเลขที่ 7001-8500/ล.141-190 ปรุ 1 ใบ",,โอ๋,"ตัด 5",กอล์ฟ,ตา,N,11-11-22,
11-11-22,"Anantara Rasananda (Koh Phangan)",H,"ultimate bliss speed boat ",80629,50,110,5500,"เคมี ขาว ฟ้า ชมพู เขียว","1 ดำ ","รันเลขที่ 12501-15000/ล.251-300ปรุ 3 ใบ",,PL,"ตัด 5",กอล์ฟ,ตา,N,11-11-22,
11-11-22,"Sala Samui Resort & Spa(เฉวง)",H,"bf voucher tree house ",80602,5000,.52,2600,"art 157","1 สี คือ ดำ ","กาวข้าง 100 ใบ",,PL,GTO,ศร,ตา,N,11-11-22,
11-11-22,"The Ritz-Carlton",H,"caption order ",80705,,,0,,,,,,,,ตา,,20-12-23,
16-11-22,"คุณดิว อาย",,"การ์ดแต่งงาน ",80932,100,10,1000,"การ์ด 5401","น-ล ชมพู",แพ็ค,"117 ใบ",โอ๋,"ตัด 11",ศร,ตา,N,16-11-22,
16-11-22,สมาคมสมุย,,"Sticker สมาคมสมุย",80885,1,,0,St.PPเงา,น-Cmyk,"ขนาด 1.5 นิ้ว",,โอ๋,"Digital Print",โอ๋,ตา,N,16-11-22,
16-11-22,"Private Speed Boat For You",TR,"NC Victor de latou",80856,500,3.50,1750,"อาร์ต 300g.",น-Cmyk,"เคลือบPVC ด้าน 2ด้าน",,ปัด,"Digital Print",ปัด,ตา,N,16-11-22,
16-11-22,"Amazing Tour Koh Samui",,Vochure,80658,20,85,1700,เคมีขาว-ฟ้า,ดำ,"ปรุข้าง 1ใบ No.001-1000 +เย็บ 50ใบ/ชุด",,โอ๋,"ตัด 5",กอล์ฟ,ตา,O+R,16-11-22,
16-11-22,"U Samui",,"Letter Head A:4 ",80817,3000,2.2,6600,"CUG 55-2  90g.","หน้า-ม่วง,ดำ",,1520ใบ,,GTO,ศร,ตา,O,16-11-22,
16-11-22,"Bophut Resort & Spa",H,"Letter Head A:4 ",80837,2000,2.6,5200,"แบงค์ครีม 100g.",น-Cmyk,,,PL,GTO4,แอร์,ตา,O,16-11-22,
17-11-22,"Anantara Lawana Resort & Spa",H,"spa menu ",80828,10,400,4000,"brick 270 g","cmyk 2 side ","เจาะรู/price list 9 pcs/wellnese 9 pcs",,ปัด,"Digital Print","laser ",ตา,N,17-11-22,
17-11-22,"Anahata Samui",H,"sticker ",80810,4,70,280,"pp มัน","cmyk 1 side ","dicut conditioner 50 /shampoo50/shower  50",,ปัด,"Digital Print","laser ",ตา,N,17-11-22,
17-11-22,"Absolutely Communication",O,"voucher ",80897,50,70,3500,"เคมี 3ใบ ขาว เหลือง ฟ้า","1 สี คือ ดำ ","รันเลขที่ 3501-6000/ล.71-120 กาวข้าง",,PL,"ตัด 5",กอล์ฟ,ตา,N,17-11-22,
17-11-22,"Absolutely Communication",O,"transportation voucher",80898,50,85,4250,"เคมี 4 ใบ ขาว ชมพู เหลือง ฟ้า ","1 สี คือ ดำ ","รันเลขที่ 2501-5000 ปรุ 3 ใบ",,PL,"ตัด 5",กอล์ฟ,ตา,O,17-11-22,
17-11-22,"Absolutely Communication",O,"daliy sail ",80899,20,170,3400,"แบงค์ครีม 155 แกรม","1 สี คือ ดำ ",ไม่รันเลขที่,,PL,"ตัด 5",กอล์ฟ,ตา,N,17-11-22,
17-11-22,"khun ธนัชชา",,portfolio,81103,2,200,400,"อาร์ต 300 แกรม","cmyk 2 side ",เข้าเล่มเย็บมุง,,ปัด,"Digital Print","laser ",ตา,N,17-11-22,
17-11-22,"logo shop",,"limley ",81061,100,3.5,350,"art 300 g ","cmyk 1 side ",,,ปัด,"Digital Print","laser ",ตา,N,17-11-22,
17-11-22,เพชรบัญชา,,"flyer a5",81067,5000,,5500,"art 115","cmyk 1 side ",A5,,โอ๋,MO4,แอ้,ตา,N,17-11-22,
17-11-22,คลีนิคแพทย์ช่อลดา,,ใบเสร็จรับเงิน,80565,20,70,1400,"ปอนด์ 80","1 สี คือ น้ำเงิน","เข้าเล่ม 100 ใบ/เล่ม  ปรุหัว",,โอ๋,"ตัด 5",เมฆ,ตา,N,17-11-22,
17-11-22,"go by the glory world wide",,โรเนียว,81078,2,175,350,"ปอนด์ 100","1 สี คือ ดำ ",ตัด,,ปัด,บริการอื่นๆ,หญิง,ตา,N,17-11-22,
17-11-22,คุณณัฐฤตา,,"nc 'การ์ดแต่ง",81045,836,22,836,"rive tradition b/w 250","cmyk 1 side ",พับ,,โอ๋,"Digital Print","laser ",ตา,N,17-11-22,
18-11-22,ณัฏฐ์กฤตา,,"การ์ด แต่ง",81045,38,22,836,"rive tradition 250","cmyk 1 side ",,,โอ๋,,"laser ",ตา,N,18-11-22,
18-11-22,"Four Seasons Resort",H,"welcome  Rm with massage ",80741,1700,4.5,7650,"olin smoth absolute white 250 g ","หน้า 2 สี ฟ้า+ดำ /หลัง ด","welcom 1000 honey moon 300 /anniversary 500",,ปัด,GTO4,แอ้,ตา,N,18-11-22,
18-11-22,"J4 Samui Hotel",H,"paid out ",80870,50,50,2500,"เคมีขาว ชมพู ฟ้า ","1 สี คือ น้ำเงิน","รันเลขที่ 5001-7500 กาวหัว 50 ใบ",,PL,"ตัด 5",เมฆ,ตา,N,18-11-22,
18-11-22,Hyatt,,"luggage tag",80826,,,0,,,,,,,,ตา,,20-12-23,
23-11-22,Hyatt,,"lugguge tag","้80826 ",2000,2.2,4400,"card 120 ","1 สี คือ เทา 2 ด้าน","รันเลขที่ 12001-14000/ ปรุ 1 จุด ผูกยางยืด ",,PL,GTO,ศร,ตา,N,23-11-22,
23-11-22,"Sala Samui Resort & Spa(เฉวง)",H,"note pad ",80824,2000,4.5,9000,"pond 80 g ","1 สี คือ เทา 1 ด้าน","กาวหัว 20 ใบ",,PL,GTO,ศร,ตา,N,23-11-22,
23-11-22,"Henry Africa's Bar",R,menu,81042,50,55,2750,"art 300 g ","cmyk 2 side "," เคลือบแข็ง",,ปัด,"Digital Print","laser ",ตา,N,23-11-22,
23-11-22,"anavana ",,nc,80912,100,4.5,450,"art 300 g ","cmyk 2 side ",,,โอ๋,"Digital Print","laser ",ตา,N,23-11-22,
