DATE,HOTEL/FIRM,CODE,"JOB DESCRIPTION",JOB.,QTY,PRICE,AMOUNT,PAPER,COLOR,งานหลังพิมพ์,จำนวนเที่ยววิ่ง,ช่างอาร์ต,เครื่องพิมพ์,ช่างพิมพ์,COOR,NEW/OLD,วันที่เสร็จ,TEL.
14-08-20,"Time's Cafe",R,"Sticker วงกลม",76168,2(A:3),70,140,"STK.PPด้าน (4*4 cm.) ","น-Print สี","ไดคัท Inkjet (วงกลม)",2(A:3),โบว์,"Digital Print",โบว์,ตา,N,14-08-20,
14-08-20,"Time's Cafe",R,"Sticker สี่เหลี่ยม",76170,2(A:3),70,140,"STK.PPด้าน (4*9 cm.) ","น-Print สี",กรีด,2(A:3),โบว์,"Digital Print",โบว์,ตา,N,14-08-20,
14-08-20,"The Tarna Align Resort",H,"Quest Enquiries",74471,50,75,3750,"เคมีขาว-ฟ้า-ชมพู ",สีดำ,"ปรุข้าง2ใบ+เย็บ50ใบ+No.00001-02500 (ล.001-050)",3750,โบว์,"ตัด 5",อุ้ม,ตา,N,14-08-20,
14-08-20,"Samt Label",O,"Sticker (7*7 CM.)",74156,7(A:3),60,420,"STK.PPด้าน ","น-Print สี","กรีด (ค่าส่ง50บ.)",7(A:3),แก่น,"Digital Print",แก่น,ตา,N,14-08-20,
14-08-20,ร้านโกเนี้ยวก๋วยเตี๋ยวเป็ด,R,"Name Card",76033,200,3,600,"อาร์ต 300 g. V.ใน","น-ล CMYK",ตัด,22(A:4),ติ๋ว,"Digital Print",ติ๋ว,ตา,N,14-08-20,
14-08-20,Grow,O,"Card Grow Loyalty",76244,100,4.50,450,"อาร์ต 300g. V.ใน","น-ล Print",ตัด,11(A:4),โบว์,"Digital Print",โบว์,สาว,N,14-08-20,
14-08-20,คุณดลย์,O,"ไวนิล ป้ายที่ดินส่วนบุคคล",18392,2,400,800,"ไวนิล 1x2 m",๋SWJ,"พับขอบเจาะตาไก่ 4 มุม",,ท๊อป,อิ้งเจ็ท,,โอ๋,N,03-09-20,
14-08-20,ท่านขุน,R,"สติกเกอร์ติดพลาสวู้ด Menu",18393,2,250,500,"สติกเกอร์ขาวมัน A3",JV33,"ติดพลาสวู้ด 3 มม 1 หน้า เคลือบด้าน",,ท๊อป,อิ้งเจ็ท,,โอ๋,N,03-09-20,
14-08-20,ของโปรด,O,Sticker,76231,5(A:3),50,250,"STK.ขาวมันหลังเขียว ","น-Print สี","ไดคัท Inkjet (วงกลม)",5(A:3),โบว์,"Digital Print",โบว์,สาว,O,14-08-20,
14-08-20,อู่ช่างใหม่,O,"Name Card",76238,200,4,800,"การ์ดขาว240g V.ใน","น-ล Print",ตัด,40(A:4),แก่น,"Digital Print",แก่น,สาว,N,14-08-20,
14-08-20,"Samui Elephant Home",TR,"Name Card",76230,100,5.50,550,"ACQขาวนวน 240g. V.ใน","น-ล Print",ตัด,11(A:4),โบว์,"Digital Print",โบว์,สาว,O+R,14-08-20,
14-08-20,Intercontinental,H,"Laundry Hanging",74356,1000,5,5000,"Olin Reqular High White 300g","น-ล CMYK",ไดคัท(บล็อคใหม่),340,แก่น,GTO4,เอ๋,สาว,N,14-08-20,
14-08-20,"ศูนย์พัฒนาเด็กเล็กเทศบาล 4 ประภาตธรรมคุณ",S,"ตัดสติกเกอร์ติดอะคิลิค ป้ายอาคารเรียนชั่วคราว",18394,2,,8900,"สติกเกอร์สีน้ำเงิน ",CT,"ติดอะคิลิคสีน้ำเงิน ",,,สติีกเกอร์,,โอ๋,N,03-09-20,
14-08-20,"ร้านนั่งเล่น Relax",R,"ไวนิล ป้ายปิดปรับปรุง",18395,2,200,400,"ไวนิล 80x120 cm",๋SWJ,"ตาไก่ 4 มุม",,ท๊อป,อิ้งเจ็ท,,โอ๋,N,03-09-20,
14-08-20,คุณกวาง,O,"print laser sticker logo",18396,1,50,50,"สติกเกอร์ขาวมันหลังเขียว  3 cm",laser,ไดคัทวงกลม,,,"Digital Print",,โอ๋,N,03-09-20,
14-08-20,อสม.,,"ไวนิล backdrop",18397,1,7200,7200,"ไวนิล 3x12 m",๋SWJ,"พับขอบเจาะตาไก่ 50 cm",,,อิ้งเจ็ท,,โอ๋,N,02-09-20,
14-08-20,"Pari Pari",O,"print laser sticker logo",18398,,,0,"PP ด้าน",laser,ไดคัท,,,"Digital Print",,โอ๋,N,02-09-20,
14-08-20,โรงเรียนวัดคีรีวงการาม,S,"ไวนิล วิสัยทัศน์",18399,1,800,800,"ไวนิล 120*240 CM.",,,,ติ๋ว,อิ้งเจ็ท,,โอ๋,N,15-09-20,
