DATE,HOTEL/FIRM,CODE,"JOB DESCRIPTION",JOB.,QTY,PRICE,AMOUNT,PAPER,COLOR,งานหลังพิมพ์,จำนวนเที่ยววิ่ง,ช่างอาร์ต,เครื่องพิมพ์,ช่างพิมพ์,COOR,NEW/OLD,วันที่เสร็จ,TEL.
18-07-23,Lamphu,R,"STK ติดพลาสวูด",01313,48,50,2400,-,-,"ติดพลาสวูด 3 มม / ติดห่มไปด้านหลัง / ปิดดำทับ / ขนาด 6*4.5 48 ชิ",,โอ๋,อิ้งเจ็ท,โอ๋,ตา,N,18-07-23,
18-07-23,"Saona Collection",O,"photo paper",01336,30,"100*15 / 100*8 / 250*7",4050,photo,"น 4 cmyk","ขนาด 30*40 ซม 15 ชิ้น / 30*42 ซม 8 ชิ้น / 60*40 ซม 7 ชิ้น ",,โอ๋,อิ้งเจ็ท,โอ๋,ตา,N,18-07-23,
18-07-23,K.กวาง,,ไวนิล,01338,1,250,250,-,-,"ขนาด 80*100 ซม 1 ชิ้น / ตอกตาไก่ ในเนื้องานระยะห่าง 4 ซม ",,โอ๋,อิ้งเจ็ท,โอ๋,ตา,N,18-07-23,
18-07-23,"Sala Samui Resort & Spa(เฉวง)",H,"STK ติดพลาสวูด",01192,20,100,2000,"stk pp",-,"ติดพลาสวูด 3 ซม / ขนาด 10.5*27.9 ซม / เคลือบด้าน",,โอ๋,อิ้งเจ็ท,โอ๋,ตา,N,18-07-23,
18-07-23,"Melia Koh Samui Beach Resort",H,"STK ติดโฟม",01340,1,500,500,"stk pp",-,"ติดโฟมบอร์ด / ไดคัทตามตัว",,โอ๋,อิ้งเจ็ท,โอ๋,ตา,N,18-07-23,
18-07-23,"Holiday Inn Koh samui",,STK,01187,"1 set",500,500,pp-ด้าน,-,-,,โอ๋,อิ้งเจ็ท,โอ๋,ตา,N,18-07-23,
18-07-23,"Holiday Inn Koh samui",,"STK ติดฟิวเจอร์บอร์ด",01134,"1 set",,4900,pp-ด้าน,"น 4 cmyk",-,,โอ๋,อิ้งเจ็ท,โอ๋,ตา,N,18-07-23,
18-07-23,"Seen Beach Club",H,"menu drink",01182,40,300,12000,"stk pp",-,"ขนาด A3 40 ชุด / ติดพาสวูด หน้า-หลัง / เคลือบด้าน",,โอ๋,อิ้งเจ็ท,โอ๋,ตา,N,18-07-23,
18-07-23,"Anahata Samui",H,"ไวนิล 8 set",01180,"8 set ",600,4800,-,-,-,,โอ๋,อิ้งเจ็ท,ต้อม,ตา,N,18-07-23,
18-07-23,"Mo Real Estate",,"print backlite",01282,8,"80*6 / 120*2",720,backlite,-,"A4 6 ใบ / A3 2 ใบ",,โอ๋,อิ้งเจ็ท,โอ๋,ตา,N,18-07-23,
