DATE,HOTEL/FIRM,CODE,"JOB DESCRIPTION",JOB.,QTY,PRICE,AMOUNT,PAPER,COLOR,งานหลังพิมพ์,จำนวนเที่ยววิ่ง,ช่างอาร์ต,เครื่องพิมพ์,ช่างพิมพ์,COOR,NEW/OLD,วันที่เสร็จ,TEL.
05-06-24,K.Daria,,Sticker,89318,12,60,720,"PP ด้าน","4 สี",,,แตงโม,"Digital Print","laser ",สาว,N,05-06-24,
05-06-24,"Half Moon ",,"ใบปลิว ",89166,50-80-20-1000,20-20-45-4,7500,"อาร์ต 157g.","4 สี",,,ปัด,"Digital Print","laser ",สาว,N,05-06-24,
05-06-24,"Fair House Villa & Spa",H,"Name Card",89324,200,4,800,"อาร์ต 300g.","4 สี",คลิปมุม,,ปัด,"Digital Print",ปัด,สาว,N,05-06-24,
05-06-24,"Alby Gummy",,Sticker,89309,10,45,450,"PP ด้าน","4 สี",,,แตงโม,"Digital Print",แตงโม,สาว,N,05-06-24,
05-06-24,"Sirocco Handcrafted Jewelry",,Tag,89094,10000,0.67,6700,"คราฟน้ำตาล 300 g.","1สี คือ ดำ","เจาะรูตรงกลาง ",,ปัด,"Digital Print",แป๊ก,สาว,N,05-06-24,
05-06-24,โรงพยาบาลวัฒนแพทย์สมุย,,"คู่มือ 4 แบบ",88734,4000,23,92000,"ปอนด์ขาว 80g","4 สี","4 แบบ/1000ใบ",,ปัด,MO4,"ศร + ต้น + แอร์",สาว,N,05-06-24,
05-06-24,ศุภชัย,,การ์ดบวช,89165,800,6,4800,"การ์ดขาว 240g","น 4 cmyk","ซองครีม 5*7",,แตงโม,"Digital Print",แป๊ก,ตา,N,05-06-24,
05-06-24,CPK,,Misellanous,89072,50,90,4500,"เคมี 3 ใบ ขาว ฟ้า เหลือง","1สี คือ ดำ","รันเลขที่2501-5000 ปรุหัว 2 ใบ เย็บ 50 ใบ/ชุด/5*7/4ดวง",,โอ๋,"ตัด 5",เมฆ,สาว,N,05-06-24,
05-06-24,"Coral Cliff Beach Resort",H,"Key Card Folder",88966,2000,3.40,6800,"อาร์ต 260g","น 2 น้ำเงิน ทอง",ไดคัท+บล๊อกใหม่+เจาะรู,,ปัด,GTO,ต้น,ตา,O,05-06-24,
05-06-24,"Silavadee Pool Spa Resort",H,"Name Card",89075,200,6.5,1300,"CX-22 Dimond-320","4 สี",,,แตงโม,"Digital Print",แป๊ก,สาว,N,05-06-24,
05-06-24,"Seen Beach Club",H,"Menu Izakaya",89146,20,40,800,"art 300 g ","น 4 cmyk ล 4 cmyk",ปั้มพับ,,ปัด,"Digital Print","laser ",สาว,N,05-06-24,
05-06-24,ฟาบริค,,"ใบเสร็จรับเงิน / บิลเงินสด",89157,50,650,3250,"เคมี 2 ใบ ขาว ฟ้า ","1 สี คือ น้ำเงิน","รันเลขที่01-2500/ล.01-50 ปรุหัว เย็บ 50 ใบ/ชุด/5*7/2ดวง",,แตงโม,"ตัด 5",เมฆ,สาว,N,05-06-24,
05-06-24,"Coral Cove Chalet",H,"Laundry List",88837,50,80,4000,"เคมี 2 ใบ ขาว ชมพู","1 สี คือ น้ำเงิน","รันเลขที่5001-7500 กาวหัว 50 ชุด/10*5.50/2ดวง",,โอ๋,"ตัด 5",เมฆ,สาว,N,05-06-24,
05-06-24,"Santiburi Beach Resort",H,"NC sheldon",88979,200,6.50,1300,"อาร์ต 350g.","น 4 cmyk ล 4 cmyk","เคลือบPVC ด้าน 2ด้าน + ไดคัทมุม",,โอ๋,"Digital Print",แป๊ก,ตา,N,06-06-24,
06-06-24,"my vacation",,"Name Card",89089,100,4,400,"อาร์ต 300g.","4 สี",,,แตงโม,"Digital Print",แตงโม,สาว,N,06-06-24,
06-06-24,"Four Seasons Resort",H,"Sticker 7 Day 7 Colour",88960,4700,0.5,2350,"PP ด้าน","cmky 1 side",,,ปัด,"Digital Print",แป๊ก,สาว,N,06-06-24,
06-06-24,"Samui Zip Line",O,ใบปลิว,88970,200,18,3600,"อาร์ต 157g.","4 สี",,,แตงโม,"Digital Print",แป๊ก,สาว,N,06-06-24,
06-06-24,"Four Seasons Resort",H,"Sticker  ติดทิชชู่ แอลกอฮอล์",89133,12,40,480,"PP Matt","4 สี",,,โอ๋,"Digital Print",โอ๋,สาว,N,06-06-24,
06-06-24,"Valentine Village",,Book,89202,30,150,4500,"ปก อาร์ต 300g. ด้านใน อาร์ต 157g.","4 สี","ปกเคลือบ PVC ด้าน 2 ด้าน  เย็บมุงหลังคา",,ปัด,"Digital Print",ปัด,สาว,N,06-06-24,
06-06-24,"Explora koh samui",,"Menu ",89205,30,90,2700,"อาร์ต 300g.","4 สี","เคลือบ PVC ด้าน 2 ด้าน  ",,แตงโม,"Digital Print","laser ",สาว,N,06-06-24,
