DATE,HOTEL/FIRM,CODE,"JOB DESCRIPTION",JOB.,QTY,PRICE,AMOUNT,PAPER,COLOR,งานหลังพิมพ์,จำนวนเที่ยววิ่ง,ช่างอาร์ต,เครื่องพิมพ์,ช่างพิมพ์,COOR,NEW/OLD,วันที่เสร็จ,TEL.
23-06-22,จันทร์แสงศ่อง,,nc,80396,100,4,400,"ART 300","CMYK 2 SIDE",ตัด,,ปัด,"Digital Print",laser,ตา,N,23-06-22,
23-06-22,"The Sea Koh Samui",H,nc,79429,300,4,1200,"ART 300","CMYK 2 SIDE",ตัด,,ปัด,"Digital Print",laser,ตา,N,23-06-22,
23-06-22,"Silavadee Pool Spa Resort",H,"Sticker กะละแม",80301,500,.55,275,"pp ด้าน","CMYK 1 SIDE",ตัด,,โอ๋,"Digital Print",laser,ตา,N,23-06-22,
23-06-22,ข้าวเหนียวมูนดอกอัญชัน,O,Sticker,80368,10,45,450,"สติกเกอร์ขาวมันหลังเขียว A3","CMYK 1 SIDE","ไดคัท Inkjet",,โอ๋,"Digital Print",laser,ตา,N,23-06-22,
23-06-22,Intercontinental,H,"caption order  ",80018,50,55,2750,"เคมี 3 ใบ ขาว ฟ้า เขียว","1 สี คือ ดำ","รันเลขที่ 1400001-142500/ล.2801-2850/กาวหัว",,PL,"ตัด 5",เมฒ,ตา,N,23-06-22,
23-06-22,"Melati Beach Resort & Spa",H,"Captain Order",80028,100,55,5500,"เคมี 3 ใบ ขาว เหลือง ฟ้า","1 สี คือ น้ำตาล","รันเลขที่ 7501-12500/ล151-250/ปรุ 2 ใบ",,PL,,กอล์ฟ,ตา,O,23-06-22,
23-06-22,"The Ritz-Carlton",H,"turn down card",80392,2000,1.72,3440,"brick 270","1 สี คือ ดำ",,,โอ๋,"Digital Print",laser,ตา,O,23-06-22,
23-06-22,Hyatt,,"Luggage Tag",80015,2000,2.2,4400,"card 120","1 สี คือ เทา 2 ด้าน","ปรุ 1 จุด /รันเลขที่ 5001-7000/เจาะรู ผูกเชือกยางยืด",,PL,GTO,เมฒ,ตา,N,23-06-22,
23-06-22,"coco coff ",,Sticker,80385,22,50,1000,"pp ด้าน","CMYK 1 SIDE","ไดคัท Inkjet",,ปัด,"Digital Print",laser,ตา,N,23-06-22,
23-06-22,"Four Seasons Resort",H,หนังสือเตือน,79976,20,195,3900,"เคมี 3 ใบ ขาว ชมพู ฟ้า","1 สี คือ เทา","กาวหัว 50 ใบ /เล่ม",,โอ๋,"ตัด 5",กอล์ฟ,ตา,O,23-06-22,
23-06-22,"logo shop",,nc,79500,100,3.5,350,"ART 300","CMYK 1 SIDE",ตัด,,โอ๋,"Digital Print",laser,ตา,N,23-06-22,
23-06-22,"Baan Chaweng Beach Resort & Spa",H,nc,80106,5000,1.06,5300,"ART 300","CMYK 2 SIDE",ตัด,,ปัด,GTO4,laser,ตา,O,23-06-22,
23-06-22,"Santisook Villas",,nc,80105,400,3,1200,"ART 300","CMYK 2 SIDE",ตัด,,ปัด,,laser,ตา,N,23-06-22,
23-06-22,Hyatt,,"Note Pad",80008,2000,1.8,3600,"pond 80 g","2 สี ส้ม เทา ",ไม่เข้าเล่ม,,PL,"ตัด 11",แอ้,ตา,O,23-06-22,
23-06-22,ธีรศักดิ์คลินิก,O,"OPD Card",80110,1000,1.10,1100,"card 180","1 สี คือ เขียว หน้า/หลัง",ตัด,,PL,"ตัด 11",แอ้,ตา,O,23-06-22,
23-06-22,"กิ่งกาชาด อ.เกาะสมุย",O,ตั๋วกาชาด,80061,2000,11,22000,"ART 128","CMYK 2 SIDE","ปรุ1 ที่ รันเลขที่ 0000-19999/",,โอ๋,GTO4,แอ้,ตา,N,23-06-22,
23-06-22,กาละแมแม่พิณ,O,"Sticker กะละแม",80356,20,50,1000,"สติกเกอร์ขาวมันหลังเขียว A3","CMYK 1 SIDE","ไดคัท Inkjet",,โอ๋,"Digital Print",laser,ตา,O,23-06-22,
23-06-22,"logo shop",,nc,80070,200,3,600,"ART 300","CMYK 1 SIDE",,,โอ๋,"Digital Print",laser,ตา,N,23-06-22,
23-06-22,"Conrad Koh Samui",H,Sticker,80442,5000,.20,1000,"สติกเกอร์ขาวมันหลังเขียว A3","CMYK 1 SIDE","ไดคัท Inkjet",,โอ๋,"Digital Print",laser,ตา,N,23-06-22,
23-06-22,"Baan Chaweng Beach Resort & Spa",H,"letter head  a4",79481,2000,1.40,2800,"pond 80 g","1 สี คือ เขียว",ตัด,,โอ๋,"ตัด 11",แอ้,ตา,O,23-06-22,
23-06-22,"Peace Resort ",H,"Envelope Logo 9/125",80073,1000,2.5,2500,"pond 80 g","2 สี เขียว ดำ ",ตัด,,PL,"ตัด 11",แอ้,ตา,N,23-06-22,
23-06-22,"Chaweng Regent",H,Menu,80438,6,525,3150,"art 260","CMYK 1 SIDE","ปั๊มพับ เจาะรู เข้าเล่ม",,ปัด,"Digital Print",laser,ตา,O,23-06-22,
23-06-22,"Peace Resort ",H,"Sticker minibar",80428,3000,.90,2700,"pp ด้าน","CMYK 1 SIDE",กรีด,,ปัด,"Digital Print",laser,ตา,O,23-06-22,
23-06-22,"Four Seasons Resort",H,"key tag",80026,2000,2.5,5000,"card 350 g","2 สี เขียว ดำ /ฟลัง ดำ","ไดคัท ",,PL,,แอ้,ตา,O,23-06-22,
23-06-22,"global agritech samui",,nc,80355,100,4,400,"ART 300","CMYK 2 SIDE",ตัด,,โอ๋,"Digital Print",laser,ตา,N,23-06-22,
23-06-22,"mary stone",,nc,80354,300,5,1500,"brick 270","CMYK 2 SIDE",ตัด,,ปัด,"Digital Print",laser,ตา,N,23-06-22,
