DATE,HOTEL/FIRM,CODE,"JOB DESCRIPTION",JOB.,QTY,PRICE,AMOUNT,PAPER,COLOR,งานหลังพิมพ์,จำนวนเที่ยววิ่ง,ช่างอาร์ต,เครื่องพิมพ์,ช่างพิมพ์,COOR,NEW/OLD,วันที่เสร็จ,TEL.
06-11-23,"Major Safari Tour",TR,"brochure- 4พับ",88099,20000,2.50,50000,"อาร์ต 157g.","น 4 cmyk ล 4 cmyk",พับ,,ปัด,MO4,ศร+ต้น,ตา,O+R,06-11-23,
06-11-23,Vanabell,,STK,88194,1000,0.70,700,pp-ด้าน,"น 4 cmyk",-,,โอ๋,"Digital Print",โอ๋,ตา,N,06-11-23,
06-11-23,คุณเมธากร,O,ป้ายพลาสวูด,02614,4,"150*4 / 40*4 / 420*2 / 1530",3130,สติ๊กเกอร์ขาวด้าน,"น 4 cmyk","เพิ่มไวนิล ขนาด 200*300 ซม 1 ใบ และ ขนาด 120*120 ซม 2 ใบ ตอกตาไก",,โอ๋,อิ้งเจ็ท,ต้อม,ตา,N,06-11-23,
06-11-23,"transfer service & car rental ",,"nc ",84177,100,5.5,550,"pvc cream 210 ","cmyk 2 side ",,,แตงโม,"Digital Print","laser ",ตา,N,06-11-23,
06-11-23,"โรงพยาบาลเกาะสมุย ",HP,"Pre - Anesthesia evoluation form",88236,100,110,11000,"เคมี 2 ใบ ขาว ฟ้า ","น 1 ดำ","ไม่มีเลขที่ กาวหัว 8*12 นิ้ว 1 ดวง",,PL,"ตัด 5",เมฆ,ตา,N,06-11-23,
06-11-23,"the next door",,"sticker ",87288,20,45,900,"stk ใส","cmyk 1 side ",,,ปัด,"Digital Print","laser ",ตา,N,06-11-23,
06-11-23,"Melati Beach Resort & Spa",H,"miscellaneous ",88283,100,70,7000,"เคมี 4 ใย ขาว เหลือง เขียว ชมพู ","น 1 น้ำตาล","รันเลขที่ 85001-90000/ล.1701-1800/ปรุ 3 ใบ  4*6 นิ้ว / 4 ดวง",,PL,"ตัด 5",เมฆ,ตา,N,06-11-23,
06-11-23,"โรงพยาบาลเกาะสมุย ",HP,"Anesthesia record ",88250,100,110,11000,"เคมี 2 ใบ ขาว-เขียว","1 สี คือ ดำ ","ไม่รันเลขที่ /กาวหัว 8*12 นิ้ว/ 1 ดวง",,PL,"ตัด 5",แบ็งค์,ตา,N,06-11-23,
06-11-23,Hyatt,,"remittance of funds en",84115,5000,4,20000,"ซองสำเร็จรูป BA 5*8 นิ้ว","น 1 ดำ",1ดวง,,PL,"ตัด 11",ศร,ตา,N,06-11-23,
06-11-23,"Angthong Sea Tour",TR,"brochure 3 fold",88478,10000,2,20000,"art 157","cmyk 2 side ","พับเครื่อง/ 4 ดวง",,โอ๋,MO,ศร,ตา,N,06-11-23,
06-11-23,"นภาพล หจก.",O,ป้ายขายที่,02701,10,380,3800,ไวนิล,"cmyk 1 side ","ตาไก่ 6 มุม ขนด 160*.95 ซม",,โอ๋,อิ้งเจ็ท,ต้อม,ตา,N,06-11-23,
06-11-23,"สมุยมอเตอร์แลนด์ (1996) บจก.",O,ไวนิล,02656,"3 ชิ้น",1000+8500+1500,11800,ไวนิล,"cmyk 1 side ","banner 1.9*2.1 m /  billboard 5.5*6 m / standy 1ชิ้น",,โอ๋,อิ้งเจ็ท,ต้อม,ตา,N,06-11-23,
06-11-23,"หจก โชคศิริยาด์",,ใบส่งของ,88380,50,80,4000,"เคมี 3 ใบ ขาว ชมพู ฟ้า ","1 สี คือ น้ำเงิน","รันเลขที่ 7501-10000/ล.151-200 ปรุ 2 ใบ/6*9 นิ้ว /2 ดวง ",,โอ๋,"ตัด 5",เมฆ,ตา,N,06-11-23,
06-11-23,ชุมชนบางน้ำจืด,,"ตรายางหมึกแยก สีน้ำเงิน ชื่อชุมชน",1942,1,350,350,-,-,"ตรายางหมึกแยก สีน้ำเงิน ชื่อชุมชน",,แตงโม,บริการอื่นๆ,แตงโม,ตา,N,06-11-23,
06-11-23,"TAC Accounting",O,ใบรับเมนู,88352,5000,0.60,3000,"ปอนด์ 80g ","น 1 ดำ",-,,PL,บริการอื่นๆ,โรเนียว,ตา,N,06-11-23,
06-11-23,"Silavadee Pool Spa Resort",H,"STK ติดโฟมบอร์ด",02675,1,400,400,"stk ขาวด้าน","น 4 cmyk","50.5*70.5 cm ",,โอ๋,อิ้งเจ็ท,ต้อม,ตา,N,06-11-23,
