DATE,HOTEL/FIRM,CODE,"JOB DESCRIPTION",JOB.,QTY,PRICE,AMOUNT,PAPER,COLOR,งานหลังพิมพ์,จำนวนเที่ยววิ่ง,ช่างอาร์ต,เครื่องพิมพ์,ช่างพิมพ์,COOR,NEW/OLD,วันที่เสร็จ,TEL.
22-02-21,"ห้างทองกรุงเทพ (สาขาหน้าทอน)",O,ใบรับประกัน,76984,200*2,3,1200,"การ์ดขาว180g. V.ใน","น-Print สี","แพ็ค (เฉวง200หน้าทอน200)",20(A:3),ติ๋ว,"Digital Print",ติ๋ว,สาว,N,08-03-21,
22-02-21,"Red Tree Kan",O,บัตรหาเสียง,76882,6000,0.84,5040,"อาร์ต 300g. V.ใน","น-ล CMYK",ตัด,325,แก่น,GTO4,แอ้,ตา,N,23-02-21,
22-02-21,"Garden Of Eden",O,Card,76883,"20 ใบ",4,80,"อาร์ต 300g. ","น-ล CMYK",ตัด,1(A:3),แก่น,"Digital Print",แก่น,ตา,N,24-02-21,
23-02-21,ดีกรีสมุย,O,"Sticker Logo (เล็ก,ใหญ่)",76886,15,55,825,"STK.ขาวมันหลังเขียว ","น-Print สี","กรีด (9*11ซม.ใหญ่10ผ.) เล็ก5ผ.",15(A:3),โอ๋,"Digital Print",โอ๋,ตา,N,24-03-21,
23-02-21,"Renaissance Resort & Spa",H,"Photo Paper Poster - Cooking Class",19601,1,400,400,โฟโต้เปเปอร์,,,,,อิ้งเจ็ท,,โอ๋,N,23-02-21,
23-02-21,"Say Cheeze Cafe",O,Sticker,76910,5,60,300,"STK.PPด้าน ","น-Print สี","ไดคัท Inkjet",5(A:3),ติ๋ว,"Digital Print",ติ๋ว,พิมพ์,O,25-02-21,080-0386720
23-02-21,"ห้างทองกรุงเทพ (สาขาหน้าทอน)",O,บัตรออมทอง,76985,200,6,1200,"การ์ดขาว 180g. V.ใน","น-CMYK ล-ดำ",รูดกลาง,26(A:3),ติ๋ว,"Digital Print",ติ๋ว,สาว,N,08-03-21,
23-02-21,"ห้างทองกรุงเทพ (สาขา 2 เฉวง )",O,บัตรออมทอง,76986,200,6,1200,"การ์ดขาว180g. V.ใน","น-CMYK ล-ดำ",รูด,26(A:3),ติ๋ว,"Digital Print",ติ๋ว,สาว,N,08-03-21,
23-02-21,"Baan Ploy & Co.",O,"Sticker 2 แบบ (Awake)",76911,3+7,60,600,"STK.PPด้าน ","น-Print สี","กรีด ค่าส่ง50",10(A:3),โอ๋,"Digital Print",โอ๋,พิมพ์,O,25-02-21,
23-02-21,Issara,O,"Sticker A:3",76887,8,70,560,"STK.PPด้าน V.ใน",น-CMYK,กรีด,"7 ใบ",แก่น,"Digital Print",แก่น,ตา,N,24-02-21,
23-02-21,กลุ่มสมุยพลังใหม่,O,"Flyer หาเสียง",76987,12000,0.75,9000,"อาร์ต128g ","น-ล CMYK",ตัด,1500,แก่น,MO4,"แอ้,ต้น",สาว,N,26-02-21,
23-02-21,คุณโม่-โฟน,O,การ์ดแต่งงาน+ซอง,76988,64+10+1(A:4),10+2+80,820,"Rive Tradition N/W 250g ","น-ล Print สี",ตัด,16(A:3),ติ๋ว,"Digital Print",ติ๋ว,สาว,N,24-03-21,
24-02-21,"The Library",H,"Flyer A:4 - ไทยเที่ยวไทย",76989,1000,4,4000,"อาร์ต157g. V.นอก","น-ล CMYK",ตัด,600,แก่น,GTO4,"ศร,ต้น",สาว,N,01-03-21,
24-02-21,Remini,O,"Print Laser - Stk. Logo (Awake)",19013,5,65,325,"STK.PPด้าน ",Laser,ค่าส่ง52บ.,,,"Digital Print",,โอ๋,N,24-02-21,
