DATE,HOTEL/FIRM,CODE,"JOB DESCRIPTION",JOB.,QTY,PRICE,AMOUNT,PAPER,COLOR,งานหลังพิมพ์,จำนวนเที่ยววิ่ง,ช่างอาร์ต,เครื่องพิมพ์,ช่างพิมพ์,COOR,NEW/OLD,วันที่เสร็จ,TEL.
20-07-21,แมวมองปลาเค็ม,,Sticker,77360,5,45,225,"stk pp golssy","CMYK 1 SIDE","6 cm 3 pls yellow /4*8 2 pls ",,โอ๋,"Digital Print",laser,ตา,N,20-07-21,
20-07-21,"Thai PBS",,nc,77374,100,4.5,400,"card 240 g","CMYK 2 SIDE",,5,KEAN,,laser,ตา,N,20-07-21,
20-07-21,ลิปะน้อยกราฟฟิค,O,"ใบพก ปืน",77354,48,3,644,"ART 300","1 สี คือ ดำ/หน้า/หลัง",ตัด,5,โอ๋,"Digital Print",laser,ตา,N,20-12-23,
20-07-21,กรมสรรพากรเกาะสมุย,G,Sticker,19407,16,,3070,,,"60x85 cm.6 @300/20x25 cm.9@30/30x120 1@300+ค่าติดตั้ง 600",,โอ๋,,โอ๋,โอ๋,,,
20-07-21,"expert pest control",,"service contect",77437,20,155,3100,"เคมี 3 ใบ ขาว ฟ้า ชมพู","1 สี คือ ดำ","ไม่รันเลข/เข้าเล่ม ปรุหัว 2 ใบ ",3000,โอ๋,"ตัด 5",ตู่,ตา,N,20-07-21,
20-07-21,Hyatt,,"้house keeping hanger",77262,500,45,22500,"พลาสติก หนา 5 มิล","CMYK 2 SIDE","ไดคัท ส่ง ทำ กรุงเทพ  st card  ซื้อ 19 บาท แบบ อาร์ตเหมือนกัน ro",,KEAN,บริการอื่นๆ,"st card bangkokk",ตา,N,20-07-21,
20-07-21,"Tommy Resort",H,ไวนิล,19404,1,,250,ไวนิล,4,"1x1 m. swj",,โอ๋,,โอ๋,โอ๋,,,
20-07-21,Hyatt,,"room occupied hangger",77263,500,45,22500,"พลาสติก หนา 5 มิล","CMYK 2 SIDE","ส่งกทม st card  แบบเหมือนกับ house keeping hanger ",,KEAN,บริการอื่นๆ,"st card bangkokk",ตา,N,19-04-22,
20-07-21,K.สาว,,sticker+พาสวู้ด,19374,2,,200,สติกเกอร์+พาสวู้ด,4,A4,,โอ๋,,โอ๋,โอ๋,,,
20-07-21,"My Cafe's & Restaurant",,"stk my cafe",77431,5,70,530,"stk ใส 1 pls/stk คราฟ1ใบ/stk ขาวบาง โลโก้ 2/stk ขาวบาง 1","CMYK 1 SIDE",,,โอ๋,"Digital Print",laser,ตา,N,20-12-23,
