DATE,HOTEL/FIRM,CODE,"JOB DESCRIPTION",JOB.,QTY,PRICE,AMOUNT,PAPER,COLOR,งานหลังพิมพ์,จำนวนเที่ยววิ่ง,ช่างอาร์ต,เครื่องพิมพ์,ช่างพิมพ์,COOR,NEW/OLD,วันที่เสร็จ,TEL.
27-05-24,"go by the glory world wide",,"general service ",86527,20,90,1800,"เคมี 3 ใบ ขาว ชมพุ เหลือง","1 สี คือ ดำ","รันเลขที่ 3001-4000/ล001-080 ปรุ 2 ใบ",,PL,"ตัด 5",เมฆ,ตา,O,27-05-24,
27-05-24,"Conrad Koh Samui",H,"envelope logo",86368,3000,4.10,12300,"card 120 g","2 สี คือ ทอง น้ำเงิน","dicut ประกอบ",,PL,GTO,ต้น,ตา,N,27-05-24,
27-05-24,เพชรบัญชา,,"flyer a5",86681,7000,1.25,8750,"art 115","น-ล cmyk",,,โอ๋,MO4,ศร,ตา,N,27-05-24,
27-05-24,คุณขณิษฐา,,การ์ดแต่งงาน,86653,20,240,12,"art 300","น 4 cmyk","ซองชมพู 20ซอง",,ปัด,"Digital Print","laser ",ตา,N,27-05-24,
27-05-24,จีรพงษ์,,การ์ดบวช,86928,300,6,1800,"บวชครีม 5*7","1 สี คือ น้ำเงิน",,,โอ๋,บริการอื่นๆ,"หญิง โรเนียว",ตา,N,27-05-24,
27-05-24,Maraleina,,"Print STK",02171,2,170,340,สติ๊กเกอร์,"น 4 cmyk","50*55.4 ซม ",,โอ๋,อิ้งเจ็ท,ต้อม,ตา,N,27-05-24,
27-05-24,"Docter Clinic",,flyer,86540,2000,2.8,5600,"art 157","น-ล cmyk",,,ปัด,GTO4,แอ้,ตา,N,27-05-24,
27-05-24,อาจารย์ภิญโญ,O,"sticker ",86482,9400,,0,"stk ขาวมัน","cmyk 1 side ",,,โอ๋,"Digital Print","laser ",ตา,N,27-05-24,
27-05-24,"Kimpton Kitalay Samui",,"กระดาษห่อ chocolet",86531,400,12.5,5000,"art 157","น 4 cmyk",ติดเทปกาวปลายงาน,,ปัด,"Digital Print","laser ",ตา,N,27-05-24,
27-05-24,"Ant ",,NC,86576,100,4.5,450,"art 300 g ","น-ล cmyk",,,ปัด,"Digital Print","laser ",ตา,N,27-05-24,
27-05-24,"NSP consulting",,ใบเสร็จรับเงิน,86336,20,9.5,1900,"เคมี 2 ใบ ขาว ฟ้า ","1 สี คือ ดำ","รันเลขที่ 0001-1000/ล001-020 ปรุ 1 ใบ",,ปัด,"ตัด 5",เมฆ,ตา,N,27-05-24,
27-05-24,"Explora koh samui",,"service voucher ",86335,50,100,5000,"เคมี 3 ใบ ขาว ฟ้า ชมพู ","1 สี คือ ดำ","รันเลขที่ 10001-12500/ล201-250 ปรุ 2ใบ",,PL,"ตัด 5",เมฆ,ตา,N,27-05-24,
27-05-24,Rocky,,"STK ติดพลาสวูด Activities program",02088,3,350,1050,สติ๊กเกอร์,"น 4 cmyk","ขนาด A3 ",,โอ๋,อิ้งเจ็ท,ต้อม,ตา,N,27-05-24,
27-05-24,"Melati Beach Resort & Spa",H,"food & beverage order",86644,150,55,8250,"เคมี 3 ใบ ขาว เหลือง ฟ้า ","1 สี คือ น้ำตาล","รันเลขที่ 22501-3000/ปรุ 2 ใบ",,PL,"ตัด 5",เมฆ,ตา,N,27-05-24,
27-05-24,"Pavilion Samui Villas & Resort",H,"Print STK ติดบรรได",02169,2,100,200,สติ๊กเกอร์ขาวด้าน,"น 4 cmyk","ขนาด 13*140 ซม ",,โอ๋,อิ้งเจ็ท,ต้อม,ตา,N,27-05-24,
27-05-24,"Samui Elephant spa",,"brochure 4 f ",86638,30000,2.25,67500,"art 157","น-ล cmyk",พับ,,PL,MO4,ศร,ตา,N,27-05-24,
27-05-24,"Fi Greek Resturant",R,catalog,86813,1+1+5,150,1050,"อาร์ต 300g.","น 4 cmyk ล 4 cmyk",ปั๊มพับ+เย็บมุมหลังคา,,แตงโม,"Digital Print",แตงโม,ตา,N,27-05-24,
27-05-24,"Major Safari Tour",TR,"brochure 4 f ",86637,30000,2.25,67500,"art 157","น 4 cmyk",พับ,,ปัด,MO4,ศร,ตา,N,27-05-24,
27-05-24,Hyatt,,"stk yangna",86546,50,60,3000,"pp matt","น 4 cmyk",,,ปัด,"Digital Print","laser ",ตา,N,27-05-24,
27-05-24,"design mebaly",,"sticker ",86677,10,70,700,"pp matt","น 4 cmyk",,,แตงโม,"Digital Print","laser ",ตา,N,27-05-24,
27-05-24,"Sea Valley Hotel & Spa",H,"NC Hotel",86865,500,3,1500,"อาร์ต 300g.","น 4 cmyk",-,,ปัด,"Digital Print",ปัด,ตา,O,27-05-24,
27-05-24,"Explora koh samui",,"bottling label",86530,8,60,480,"pp matt","น 4 cmyk",,,แตงโม,"Digital Print","laser ",ตา,N,27-05-24,
27-05-24,"Samui Buri Beach Resort",H,"sticker ",86526,4,70,280,"pp matt","น 4 cmyk",,,แตงโม,"Digital Print","laser ",ตา,N,27-05-24,
27-05-24,"Kamalaya Koh Samui",H,"book ",86975,12,125,1500,"art 300 g ","น 4 cmyk","ใส่ห่วงเหล็กสีขาว เคลือบ 8 เล่ม",,โอ๋,"Digital Print","laser ",ตา,N,27-05-24,
27-05-24,"Belmond Napasai",H,"Gm Note card ",86961,3000,5.30,15900,"wove h/w 280 g","1 สี คือ ดำ","ปั๊มพับ + ปั๊มจม ",,PL,"ตัด 11",ศร,ตา,N,27-05-24,
28-05-24,"ชมรมข้าราชการบำนาญ ",,"วารสาร ข้าราชการบำนาญ",87173,230,162,37260,"ปก art 260 g/ใน art 128 g ","น 4 cmyk ล 4 cmyk",เข้าเล่มสันกาว,,โอ๋,MO4,ศร,ตา,N,28-05-24,
28-05-24,"Panorama Samui",,"nc diana dorathy",36350,200,4.5,900,"art 300 g ","น 4 cmyk ล 4 cmyk",,,แตงโม,"Digital Print","laser ",ตา,N,28-05-24,
28-05-24,"Kamalaya Koh Samui",H,"housekeeping card ",86567,2000,4.4,8800,"brick 270","cmyk 1 sideหลัง ดำ",,,PL,GTO4,แอ้,ตา,N,28-05-24,
28-05-24,"Thai International Hospital",HP,"letter head a4",86511,20000,.75,15000,"ปอนด์ 80 แกรม","1 สี คือ ฟ้า",,,โอ๋,MO4,ศร,ตา,N,28-05-24,
28-05-24,"Jungle Experience",O,flyer,86804,3000+140+700+2000,4760+4290+2840,11890,"art 157","น 4 cmyk",,,ปัด,"Digital Print","laser ",ตา,N,28-05-24,
28-05-24,"energy ",,"sticker ",86781,100,70,350,pp-ด้าน,"น 4 cmyk",,,แตงโม,"Digital Print","laser ",ตา,N,28-05-24,
28-05-24,"Samui Crumb",,"sticker ",86748,3,70,210,pp-ด้าน,"น 4 cmyk","4*4 cm",,แตงโม,"Digital Print","laser ",ตา,N,28-05-24,
