DATE,HOTEL/FIRM,CODE,"JOB DESCRIPTION",JOB.,QTY,PRICE,AMOUNT,PAPER,COLOR,งานหลังพิมพ์,จำนวนเที่ยววิ่ง,ช่างอาร์ต,เครื่องพิมพ์,ช่างพิมพ์,COOR,NEW/OLD,วันที่เสร็จ,TEL.
29-04-22,"Art Cafe Koh Phangan",R,"Cash Sale",79764,100,55,5500,"เคมี 2 ใบ ขาว ฟ้า  ","1 สี คือ ดำ","15001-20000/ล.301-400 ปรุ 1ใบ",5000,PL,"ตัด 5",เมฒ,ตา,O,29-04-22,
29-04-22,"The Ritz-Carlton",H,nc,80009,200,4.5,900,"card 240 g ตีพื้นฟ้า","1 สี คือ ดำ ",ตัด,10,ปัด,"Digital Print",laser,ตา,N,29-04-22,
29-04-22,"Centara reserve",,"Sticker del",79480,,,0,,,,,,,,ตา,,29-04-22,
29-04-22,"Centara reserve",,"Sticker ติดขวด",79480,7000,1,7000,"pp ด้าน","CMYK 1 SIDE","ไดคัท Inkjet",42,,"Digital Print",,ตา,N,29-04-22,
29-04-22,Hyatt,,"กระดาษรองถังขยะ 23*18",80007,2000,.35,700,"คราฟ 110",0,"ตัด 23*15 ซม",,ตัด,บริการอื่นๆ,โรจ,ตา,N,29-04-22,
29-04-22,Hyatt,,กระดาษรองถังขยะ18*18,80006,2000,.35,700,"คราฟน้ำตาล 110 แกรม",,ตัด,,ตัด,บริการอื่นๆ,โรจ,ตา,O,29-04-22,
29-04-22,"Kamalaya Koh Samui",H,"note padfb 10.50*14.50",79732,1000,14.50,14500,"แบงค์ครีม 70แกรม","1 สี คือ ดำ","กาวหัว 50 ใบ /เล่ม",5555,ปัด,GTO4,แอ้,ตา,N,29-04-22,
29-04-22,"Banana Fan Sea Resort",H,nc,79483,200,4.5+5.5,1000,"brick 270","CMYK 2 SIDE","ปั๊ททอง nawin ",20,ปัด,"Digital Print",laser,ตา,N,29-04-22,
29-04-22,"art lab",,"Brochure A:4",80102,100,4,1400,"ART 157","CMYK 2 SIDE",พับมือ,50,ปัด,"Digital Print",laser,ตา,N,29-04-22,
29-04-22,"มูลนิธิกุศลสงเคราะห์เกาะสมุย (หน้าทอน)",O,ใบนำส่ง,79250,50,165,8250,"กระดาษธรรมดา 2 ใบ เหลือง-ปรู๊ฟ","3 สี เหลือง แดง ดำ","รันเลขที่ 001-2500/ล.01-50 ปรุ 1 ใบ",10000,ปัด,"ตัด 5",เมฒ,ตา,N,29-04-22,
