DATE,HOTEL/FIRM,CODE,"JOB DESCRIPTION",JOB.,QTY,PRICE,AMOUNT,PAPER,COLOR,งานหลังพิมพ์,จำนวนเที่ยววิ่ง,ช่างอาร์ต,เครื่องพิมพ์,ช่างพิมพ์,COOR,NEW/OLD,วันที่เสร็จ,TEL.
15-01-25,"Kimpton Kitalay Samui",,"Welcome Card",92419,5000,"1.9 นอก",9500,"Pop Set Cream 240g.","น 1 ดำ ล 1 ดำ",-,,Pl,GTO,ต้น,สาว,N,15-01-25,
15-01-25,"The Fair House Beach Resort & Hotel",H,"Transfer Voucher",92425,50,"75 นอก",3750,"ธรรมดา 3 ใบ ขาว ชมพู บรุ๊ฟ","น 1 ดำ","รันเลขที่2501-5000/ล.50-100 ปรุหัว 2 ใบ เย็บ 50 ใบ/ชุด",,Pl,"ตัด 5",เดียร์,สาว,N,15-01-25,
15-01-25,"Chill Inn Lipanoi",,Voucher,92472,100,"90 นอก",9000,"เคมี 3 ใบ ขาว เหลือง เขียว","น 1 ดำ","รันเลขที่2501-7500 ปรุข้าง 2 ใบ เย็บ 50 ใบ/ชุด",,Pl,"ตัด 5",เดียร์,สาว,N,15-01-25,
15-01-25,"Dream Bar",,"Cash Sale",92213,200,"37 นอก",7400,"ธรรมดา 1 ใบ ปอนด์ 55g","น 1 ดำ","รันเลขที่0001-1000/ล.01-200 ปรุหัว เย็บ 100 ใบ/ชุด",,"Pl โอ๋","ตัด 5",เมฆ,สาว,N,15-01-25,
15-01-25,"Karma Panalee",,"Flyer A5 Grand Openning",92083,1000,"4.5 นอก",4500,"อาร์ต 157g.","น 4 cmyk ",-,,โอ๋,"Digital Print","laser ",สาว,N,15-01-25,
15-01-25,"BMK Villa Koh Tao",,"Booklet 2 แบบ",92077,30-30,"210 นอก",12600,"ปก อาร์ต 300g. ด้านใน อาร์ต 157g.","น 4 cmyk ล 4 cmyk","เคลือบ PVC ด้าน 2 ด้าน  ปั๊มพับ เย็บมุงหลังคา",,เป๊ก,"Digital Print","laser ",สาว,N,15-01-25,
15-01-25,"The Nature Samui",O,"Print Card A5 สูตรอาหาร",92272,150,"12 นอก",1800,"อาร์ต 300g.","น 4 cmyk ล 4 cmyk",-,,โอ๋,"Digital Print","laser ",สาว,N,15-01-25,
15-01-25,Oppein,,"Print Name Card 2 แบบ",92079,100-200,"5.5 นอก",1650,"อาร์ต 300g.","น 4 cmyk ล 4 cmyk","เคลือบ PVC ด้าน 2 ด้าน ",,เป๊ก,"Digital Print","laser ",สาว,N,15-01-25,
15-01-25,"Pizzeria Sorte",,"Print Menu Pizzeria",92487,9,"260 นอก",2340,"อาร์ต 300g.","น 4 cmyk ล 4 cmyk","เคลือบ PVC ด้าน 2 ด้าน เจาะรู ใส่สัน",,ปัด,"Digital Print","laser ",สาว,N,15-01-25,
15-01-25,ร้านสวัสดี,,"Print Menu Food / Drink",92444,5-5,"270-60 ใน",1650,"อาร์ต 300g.","น 4 cmyk",-,,ปัด,"Digital Print","laser ",สาว,N,15-01-25,
15-01-25,Vanabell,,"Print Sticker Trash 4 cm.",91916,200,"1.5 นอก",300,"PP ด้าน","น 4 cmyk ",ไดคัท,,โอ๋,"Digital Print","laser ",สาว,N,15-01-25,
15-01-25,"The Ritz-Carlton",H,"Credo Card",92413,100,"15 นอก",1500,"การ์ดตีพื้นฟ้า 240g.","น 4 cmyk ล 4 cmyk","เคลือบ PVC ด้าน 2 ด้าน  ปั๊มพับ",,ปัด,"Digital Print","laser ",สาว,N,15-01-25,
