DATE,HOTEL/FIRM,CODE,"JOB DESCRIPTION",JOB.,QTY,PRICE,AMOUNT,PAPER,COLOR,งานหลังพิมพ์,จำนวนเที่ยววิ่ง,ช่างอาร์ต,เครื่องพิมพ์,ช่างพิมพ์,COOR,NEW/OLD,วันที่เสร็จ,TEL.
03-07-20,"Villa Dent",O,ใบเสร็จรับเงินค่าทำฟัน,76001,20,85,1700,เคมีขาว-ชมพู-เหลือง,สีดำ,"ปรุหัว2ใบ+เย็บ50ใบ No.21001-22000 (ล.421-440)",1500,PL,"ตัด 5",อุ้ม,ตา,O,10-07-20,"081-6176206 / 077-603666"
03-07-20,ข้าวเกรียบเขาน้อย,O,STK.Logo,74472,1000,0.55,550,"STK.ขาวมัน ",หน้า-cmyk,กรีด,9(A:3),ท๊อป,"Digital Print",ท๊อป,ตา,N,03-07-20,
03-07-20,เทพเรสซิ่ง,O,"Name Card",74487,150,3.50,525,"อาร์ต 300 g. ",น-CMYK,ตัด,5(A:3),โบว์,"Digital Print",โบว์,ตา,N,03-07-20,
03-07-20,"Pawanthorn Samui Villa",H,"Flyer A:4 - โปรปลดล๊อค",74424,500,4.50,2250,"อาร์ต128g. V.นอก","น-ล cmyk ",ตัด,400,ติ๋ว,MO4,"แอ้,ศร",สาว,O+R,03-07-20,
03-07-20,"Montien House",H,"Flyer A:4 - โปรปลดล๊อค",74422,500,4.50,2250,"อาร์ต 128g. V.นอก",น-CMYK,ตัด,,ติ๋ว,MO4,"แอ้,ศร",สาว,O+R,03-07-20,
03-07-20,"Melia Koh Samui Beach Resort",H,"House Keeping,Good Night Card",74274,1000,1.70,1700,,,,68(A:3),ติ๋ว,"Digital Print",ติ๋ว,สาว,N,03-07-20,
03-07-20,"Melia Koh Samui Beach Resort",H,"Fresh Laundered",74276,1000,1.25,1250,"Edixion 300g V.นอก","น-Print สี",ตัด,43(A:3),ติ๋ว,"Digital Print",ติ๋ว,สาว,N,03-07-20,
03-07-20,"Melia Koh Samui Beach Resort",H,"Book Mark",74275,1000,1.50,1500,"Edixion 300g V.นอก","น-Print สี",ตัด,51(A:3),ติ๋ว,"Digital Print",ติ๋ว,สาว,N,03-07-20,
03-07-20,"Melia Koh Samui Beach Resort",H,"Trip Advisor Card",74272,2000,0.72,1440,"Edixion 300g V.นอก","น-Print สี",ตัด,41(A:3),ติ๋ว,"Digital Print",ติ๋ว,สาว,N,03-07-20,
03-07-20,"บ.ภิรมย์ละไม จำกัด (น้ำดื่มพอลลิ่ง)",O,บิลส่งสินค้า,74428,50,65,3250,"เคมีขาว-ชมพู-เหลือง V.ใน",สีน้ำเงิน,"ปรุหัว2ใบ+เย็บ50ใบ No.07501-10000 (ล.151-200)",1950,โบว์,"ตัด 5",อุ้ม,สาว,O+R,03-07-20,
03-07-20,"บ.รอยัล กรุ๊ป 2020 จำกัด",O,"ซองจดหมาย 9/125",74425,1000,2,2000,"ซองขาวฝาขนาน 9/125 V.นอก",สีดำ,แพ็ค,1000,แก่น,"ตัด 11",ศร,สาว,N,03-07-20,
03-07-20,"รอยัลเบเกอรี่ บจก.",O,"ซองจดหมาย 9/125",74427,2000,1.80,3600,"ซองขาวฝาแหลม 9/125 V.นอก",สีดำ,แพ็ค,2000,แก่น,"ตัด 11",ศร,สาว,N,03-07-20,096-3961697
03-07-20,"หจก.เปา เปา เทรดดิ้ง 2020",O,"ซองจดหมาย 9/125",74426,1000,2,2000,"ซองขาวฝาขนาน 9/125 V.นอก",สีดำ,แพ็ค,1030,แก่น,"ตัด 11",ศร,สาว,N,03-07-20,
03-07-20,"Wild Tribe",R,Menu,74452,20,495,9900,"อาร์ต 260 g. V.นอก","น-ล cmyk ",เคลือบแข็ง+เข้าเล่มห่วงกระดูกงูเหล็กดำ,220(A:3),แก่น,"Digital Print",แก่น,ตา,N,03-07-20,
03-07-20,"คุณพาเมล่า (Tree House)",O,บิลเงินสด,74464,100,50,5000,ปอนด์ขาว55g,สีน้ำตาล,"ปรุหัว+เย็บ100ใบ No.00001-10000 (ล.001-100)",5000,PL,"ตัด 5",อุ้ม,ตา,O,03-07-20,062-2404305
03-07-20,"Antica Locanda",R,ที่รองจาน,74473,1000,2.04,2040,"คราฟน้ำตาล 110 g",สีดำ,ตัด,1030,PL,GTO,ต้น,ตา,O,03-07-20,
03-07-20,"Four Seasons Resort",H,"Sticker - Sanitised",74469,1000,0.40,400,"Sticker ขาวมันหลังเขียว",น-CMYK,"ไดคัท Inkjet","9 ใบ",โบว์,"Digital Print",โบว์,ตา,N,03-07-20,
