DATE,HOTEL/FIRM,CODE,"JOB DESCRIPTION",JOB.,QTY,PRICE,AMOUNT,PAPER,COLOR,งานหลังพิมพ์,จำนวนเที่ยววิ่ง,ช่างอาร์ต,เครื่องพิมพ์,ช่างพิมพ์,COOR,NEW/OLD,วันที่เสร็จ,TEL.
28-01-23,"Tango Beach Resort",H,flyer,81536,2000*2,1.93,7720,"art 128","cmyk 2 side ",,,ปัด,MO4,ศร,ตา,N,28-01-23,
28-01-23,"avani chaweng ",,"miscellaneous ",81199,50,65,3250,"เคมี 3 ใบ ขาว ชมพู ฟ้า ","1 สี คือ ดำ ","รันเลขที่0001-2500/ล001-50 ปรุ 2 ใบ",,โอ๋,"ตัด 5",เมฆ,ตา,N,28-01-23,
28-01-23,"Tango Beach Resort",H,registration,81344,2,175,350,ปอนด์,"1 สี คือ น้ำเงิน",โรเนียว,,ปัด,"Digital Print",หญิง,ตา,O,28-01-23,
28-01-23,"avani chaweng ",,"inter bar transfer",81251,50,90,4500,"เคมี ขาว ชมพู ฟ้า ","1 สี คือ ดำ ","รันเลขที่0001-2500/ล001-50 ปรุ 2 ใบ",,โอ๋,"ตัด 5",เมฆ,ตา,N,28-01-23,
28-01-23,"Meeboone Travel & Tour",TR,"voucher ",81431,50,70,3500,"เคมี 2 ใบ ขาว ชมพู ","1 สี คือ ดำ ","รันเลขที่ 5001-7500/กาว",,โอ๋,"ตัด 5",เมฆ,ตา,N,28-01-23,
28-01-23,Angthong,O,ใบกำกับภาษี/ใบเสร็จรับเงิน,81371,30,130,3900,"ธรรมดา ขาว ฟ้า ปรู๊ฟ","1 สี คือ ดำ ","รันเลขที่ 45501-47000/ล911-940",,โอ๋,"ตัด 5",เมฆ,ตา,N,28-01-23,
28-01-23,"Avani Samui (Sunset Coast)",H,"miscellaneous ",81062,50,65,3250,"เคมี 3 ใบ ขาว ชมพู ฟ้า ","1 สี คือ ดำ ","รันเลขทีี 4001-6500/ล.81-130 ปรุ 2ใบ",,PL,"ตัด 5",เมฆ,ตา,O,28-01-23,
28-01-23,"Centara reserve",,"safe card",81149,180,8,1440,"pp matt","cmyk 1 side ",ตัด,,ปัด,"Digital Print","laser ",ตา,N,28-01-23,
28-01-23,"Holiday Inn Koh samui",,nc,80737,1000,3,3000,"brick 270","cmyk 2 side ","matt pvc ",,ปัด,"Digital Print","laser ",ตา,N,28-01-23,
28-01-23,"Rocky's Boutique Resort",H,"caption order ",81095,1000,38,36500,"เคมี ขาว ฟ้า เหลือง","1 สี คือ เทา 1 ด้าน","รันเลขที่0001-50000/ล0001-1000/ปรุ 3ใบ",,โอ๋,"ตัด 5",เมฆ,ตา,O,28-01-23,
28-01-23,"KCR Enterprise Ltd.",O,"transportation voucher",81110,50,95,4750,"เคมี ขาว เหลือง ฟ้า ชมพู","1 สี คือ ดำ ","รันเลขที่1501-4000/ปรุ 3ใบ",,PL,"ตัด 5",เมฆ,ตา,N,28-01-23,
28-01-23,กะละแมแม่ธัญญา,O,"sticker ",81302,5000,1,5000,"stk ขาวมัน","cmyk 1 side ",dicut,,PL,GTO4,แอ้,ตา,N,28-01-23,
28-01-23,สำนักปฏิบัติธรรมวัดน้ำตกหินลาด,O,ฎีกา+ซอง,81420,800,1.5,1200,"ปอนด์ 80","1 สี คือ น้ำเงิน",+ซอง,,โอ๋,บริการอื่นๆ,หญิง,ตา,N,28-01-23,
28-01-23,"ครัวเสวย (ร้านอาหาร)",R,กระดาษห่อของ,81427,1000*2,2/0.5,4000,"green prof","2 สี คือ ดำ แดง","มี 2 ขนาด 30*30 ซม/15*15 ซม",,ปัด,GTO,ต้น,ตา,N,28-01-23,
28-01-23,"Centara reserve",,nc,81588,200,3,600,"rive tradition b/w 250","cmyk 2 side ",,,โอ๋,"Digital Print","laser ",ตา,N,28-01-23,
28-01-23,"annie ",,"sticker ",81579,6,60,360,"pp matt","cmyk 1 side ",dicut,,โอ๋,"Digital Print","laser ",ตา,N,28-01-23,
28-01-23,"Kamalaya Koh Samui",H,nc,81592,200,4.50,900,"art 300 g ","cmyk 2 side ","matt pvc ",,ปัด,"Digital Print","laser ",ตา,N,28-01-23,
28-01-23,กาละแมแม่พิณ,O,"sticker ",81574,500,,5,"stk ขาวมัน","cmyk 1 side ",dicut,,ปัด,"Digital Print","laser ",ตา,N,28-01-23,
28-01-23,"A Paper Maker",O,tag,81514,1000,.90,900,"art 128","1 สี คือ ดำ ",,,PL,GTO,ต้น,ตา,N,28-01-23,
28-01-23,"Pop Smile",O,"print a5",81561,2,400,800,"art 300 g ","cmyk 1 side ","matt pvc เข้าเล่มห่วง",,ปัด,"Digital Print","laser ",ตา,N,28-01-23,
28-01-23,"Peace Resort ",H,"luggage tag",81337,2000,2.40,4800,"art 210","2 สี ดำ เขียว /หลัง ดำ ","เจาะรู กลาง ผูกเชือก",,PL,"ตัด 11",ศร,ตา,N,28-01-23,
