DATE,HOTEL/FIRM,CODE,"JOB DESCRIPTION",JOB.,QTY,PRICE,AMOUNT,PAPER,COLOR,งานหลังพิมพ์,จำนวนเที่ยววิ่ง,ช่างอาร์ต,เครื่องพิมพ์,ช่างพิมพ์,COOR,NEW/OLD,วันที่เสร็จ,TEL.
28-12-23,"the pose",,"STK logo",87705,11,70,770,"pp matt","cmyk 1 side ",,,แตงโม,"Digital Print","laser ",ตา,N,28-12-23,
28-12-23,Picornene,,"Menu ",88051,1,,480,"อาร์ต 300g.","น 4 cmyk ล 4 cmyk",เคลือบแข็ง+เข้าเล่มกระดูกงู,,โอ๋,"Digital Print",โอ๋,ตา,O+R,28-12-23,
28-12-23,สินธุ์,,"STK ตัวสีแดง",86093,10,50,500,pp-ด้าน,"น 4 cmyk",,,แตงโม,"Digital Print",แตงโม,ตา,N,28-12-23,
28-12-23,คุณพลอย,,nc,87668,100,5,500,"brick 270","cmyk 1 side ",,,ปัด,"Digital Print","laser ",ตา,N,28-12-23,
28-12-23,"Four Seasons Resort",H,"NC Hotel",88472,500,5,2500,"อาร์ต 300g.","น 4 cmyk ล 4 cmyk",-,,โอ๋,"Digital Print",โอ๋,ตา,O,28-12-23,
28-12-23,Baanairai,,"Menu ",86221,2,,1830,"อาร์ต 300g. + คราฟ 230 g","น 4 cmyk ล 4 cmyk","เคลือบPVC ด้าน 2ด้าน เย็บมุมหลังคา ปั๊มพับ",,แตงโม,"Digital Print",แตงโม,ตา,N,28-12-23,
28-12-23,"Yoga Thailand (Samahita Retreat)",H,booklet,87626,17,175,2975,"pond 80 g","น 1 ดำ 2 side",เข้าเล่มใส่ห่วง,,แตงโม,"Digital Print",หญิง,ตา,N,28-12-23,
28-12-23,"Homm Chura",,"coster ",87879,1000,2.85,2850,"ซับขาว 210 g","1 สี คือ น้ำเงิน","ไดคัท ",,ปัด,GTO,ต้น,ตา,N,28-12-23,
28-12-23,Vigeo,,"ใบปลิว ",84180,200,9,1800,"อาร์ต 157g.","น 4 cmyk",-,,โอ๋,"Digital Print",โอ๋,ตา,N,28-12-23,
28-12-23,"cocoa diary",,"chocolet box",88439,3000,5,15000,"art 260","cmyk 1 side ","matt pvc   ไดคัท +ติดเทปกาว + บล๊อก 800 บาท ",,แตงโม,GTO4,แอร์,ตา,O,28-12-23,
28-12-23,"Anantara Rasananda (Koh Phangan)",H,"stk tissue roll",87830,10,45,450,"stk pp","cmyk 1 side ","dicut  2.5cm",,โอ๋,"Digital Print","laser ",ตา,N,28-12-23,
28-12-23,"Passa Restaurant",R,nc,87818,,,0,,,,,,,,ตา,,25-01-24,
28-12-23,K.ปู,,ไวนิล,02682,3,"400 / 200 / 50",650,ไวนิล,"น 4 cmyk","ไวนิล ขนาด 80*200 ซม / STK ติดโฟม 20*80 ซม / A3 1 V.ใน",,โอ๋,อิ้งเจ็ท,ต้อม,ตา,N,28-12-23,
28-12-23,Commontone,O,ปฎิทิน,88378,200,12.50,2500,"คราฟน้ำตาล 300 g","น 4 cmyk",-,,ปัด,"Digital Print",ปัด,ตา,N,28-12-23,
28-12-23,Hyatt,,"photo paper/ STK ติดพลาสวูด",02728,4,"250*2 / 650*2",1800,"photo and stk ","น 4 cmyk","photo paper ขนาด A2 2 ชิ้น / STK ขนาด 60*90 ซม 2 ชิ้น",,โอ๋,อิ้งเจ็ท,ต้อม,ตา,N,28-12-23,
28-12-23,เพชรบัญชา,,"Flyer 30/09",88007,7000,0.90,6300,"อาร์ต 157g.","น 4 cmyk",-,,โอ๋,MO4,ศร+ต้น,ตา,N,28-12-23,
29-12-23,"Banyan Tree Samui",H,"กระดาษรองถังขยะ 8 นิ้ว",87743,1000,1.3,1300,"คราฟน้ำตาล 110 แกรม",,dicut,,นรินทร์,บริการอื่นๆ,นรินทร์,ตา,N,29-12-23,
29-12-23,"Four Seasons Resort",H,"ืnc ",87844,200,400,2,กระดาษลูกค้า,"1 สี คือ ดำ ",,,โอ๋,"ตัด 11",ศร,ตา,N,29-12-23,
29-12-23,"Passa Restaurant",R,์NC-,87818,300,3.5,1050,"art 300 g ","cmyk 2 side ",,,โอ๋,"Digital Print","laser ",ตา,O,29-12-23,
29-12-23,"The Fair House Beach Resort & Hotel",H,NC,88488,200,5,1000,"art 300 g ","cmyk 2 side ",,,โอ๋,"Digital Print","laser ",ตา,N,29-12-23,
29-12-23,"Kimpton Kitalay Samui",,"กระดาษห่อ chocolate ",87704,100,12.50,1250,"art 157","cmyk 1 side ",,,ปัด,"Digital Print","laser ",ตา,N,29-12-23,
29-12-23,"Super Laundry",O,ใบเช็คผ้า,87959,50,60,3000,"เคม ี 2 ใบ ขาว ฟ้า ","น 1 ดำ","รันเลขที่ 7501-10000/ล.151-200/ปรุ 2 ใบ 2ดวง 4*8 นิ้ว",,PL,"ตัด 5",เมฆ,ตา,N,29-12-23,
29-12-23,"Yoga Thailand (Samahita Retreat)",H,"laundry  service ",88097,50,63,3150,"เคมี 2 ใบ ขาว ฟ้า ","1 สี คือ ดำ ","เลขที่ 001-2500/ล - ปรุ 1 ใบ /4 ดวง /7*7 นิ้ว",,ao,"ตัด 5",เมฆ,ตา,N,29-12-23,
29-12-23,"Coral Cliff Beach Resort",H,"NC hotel",87601,1000,3,3000,"art 300 g ","cmyk 2 side ",,,ปัด,"Digital Print","laser ",ตา,N,29-12-23,
29-12-23,"Kimpton Kitalay Samui",,"food label",87600,2000,.65,1300,"pp matt","cmyk 1 side ",,,โอ๋,"Digital Print","laser ",ตา,N,29-12-23,
29-12-23,"Peace Resort ",H,"Letter Head A:4 ",87612,1000,6.5,6500,"Olin Smoth H/W 300g. V.นอก","cmyk 1 side ",,,PL,GTO4,แอ้,ตา,N,29-12-23,
29-12-23,"Bangkok Hospital ",HP,"brochure ภาษาจีน",87596,100,25,2500,"art 260 g ","cmyk 2 side ",,,แตงโม,"Digital Print","laser ",ตา,N,29-12-23,
29-12-23,"Silavadee Pool Spa Resort",H,ใบส่งของชั่วคราว,86248,100,195,19500,"เคมี 3 ใบ ขาว เขียว เหลือง","น 1 เทา","รันเลขที่ 7501-12500/ล151-250 /ปรุ 3 ใบ 10*7 นิ้ว/1 ดวง",,โอ๋,"ตัด 5",เมฆ,ตา,N,29-12-23,
29-12-23,"The Ritz-Carlton",H,"departure baggage clain",87890,1000,11.90,11900,"card 240 g","1 สี คือ ดำ 2 ด้าน","ปรุ 1 จุด ตีเลข 6001-7000 2 จุด /เจาะรู ผูกเชือก ",,PL,GTO,ต้น,ตา,N,29-12-23,
29-12-23,"Trans Island Travel Co.,ltd",TR,"Enrvlope v2  10*7 นิ้ว",88005,1000,6.4,6400,"env 7*10 สำเร็จรูป"," 3 สี แดง เหลือง ดำ ",,,โอ๋,GTO,ต้น,ตา,N,29-12-23,
29-12-23,CPK,,"Purchase Request ",87615,50,70,3500,"เคมี ขาว เหลือง ฟ้า","1 สี คือ ดำ ","รันเลขที่ 1001-3500 /เล่มที่ 21-70 ปรุ 2 ใบ",,PL,"ตัด 5",เมฆ,ตา,N,29-12-23,
29-12-23,"Homm Chura",,"TAG ติดกระเป๋า",87584,1000,4.2,4200,"card 210g","1  สี คือ น้ำเงิน","ปรุ 1 จุด ตีเลข- 2  no 0001-1000/ไดคัทเจาะรู ผูกเชือก ",,ปัด,GTO,ต้น,ตา,N,29-12-23,
29-12-23,"Fan Football",O,"STK ติดพลาสวูด",01321,2,"1800 / 187.50 *8",3300,สติ๊กเกอร์,"น 4 cmyk","ขนาด 90*170 ซม / ติดโฟมบอร์ด ขนาด 90*170 ซม 8 ชิ้น",,โอ๋,อิ้งเจ็ท,ต้อม,ตา,N,29-12-23,
29-12-23,"Fan Football",O,"STK food truch",01303,1,,12000,สติ๊กเกอร์,"น 4 cmyk",-,,โอ๋,อิ้งเจ็ท,ต้อม,ตา,N,29-12-23,
29-12-23,"Fi Greek food",,"STK organic",88118,10,60,600,pp-ด้าน,"น 4 cmyk",-,,แตงโม,"Digital Print",แตงโม,ตา,N,29-12-23,
29-12-23,"light house",,STK,02621,6,350,2100,สติ๊กเกอร์,"น 4 cmyk","ขนาด 65*90 ซม",,แตงโม,อิ้งเจ็ท,ต้อม,ตา,N,29-12-23,
29-12-23,"Muti Body Oil",,"STK body oil ",87811,11,60,660,pp-ด้าน,"น 4 cmyk",-,,แตงโม,"Digital Print",แตงโม,ตา,N,29-12-23,
