DATE,HOTEL/FIRM,CODE,"JOB DESCRIPTION",JOB.,QTY,PRICE,AMOUNT,PAPER,COLOR,งานหลังพิมพ์,จำนวนเที่ยววิ่ง,ช่างอาร์ต,เครื่องพิมพ์,ช่างพิมพ์,COOR,NEW/OLD,วันที่เสร็จ,TEL.
12-07-24,"โรงพยาบาลเกาะสมุย ",HP,ซองน้ำตาลรายเดือน,89403,500,5.8,2900,"ซองน้ำตาล A4","2 สี คือ แดง ดำ",,,Pl,"ตัด 11",ต้น,สาว,N,12-07-24,
12-07-24,"Four Seasons Resort",H,"Envelope Logo",90218,500,3.5,1750,ซองสำเร็จรูปขาว,"1สี คือ เทา",,,Pl,"ตัด 11",ศร,สาว,N,12-07-24,
12-07-24,"Samui Resotel  Beach Resort",H,"Luggage Tag",89575,5000,1.95,9750,"อาร์ต 300g.","หน้า 1 สี คือ ฟ้า หลัง 1","เจาะรู + ผูกเชือก",,Pl,"ตัด 11",ต้น,สาว,N,12-07-24,
12-07-24,Hyatt,,"Welcome Card",89794,1000,8.9,8900,"กระดาษ RDV 270g.","4 สี CMYK",ปั๊มพับ,,ปัด,GTO4,แอร์,สาว,N,12-07-24,
12-07-24,"คุณเสาวนีย์ ( Seen Beach)",,"Flyer A5",89482,2000,2.70,5400,"อาร์ต 157g.","4 สี CMYK",,,ปัด,GTO4,แอร์,สาว,N,12-07-24,
12-07-24,"Half moon festival",,Flyer,90361,20-40-20-180-1200-1200-50,45-45-20-20-4.5-4.5-20,20073.2,"อาร์ต 157g.","4 สี CMYK",,,ปัด,"Digital Print",ปัด,สาว,N,12-07-24,
12-07-24,"Mai Kod ku",,"Name Card",90329,100,4.5,450,"อาร์ต 300g.","4 สี CMYK",,,แตงโม,"Digital Print",แตงโม,สาว,N,12-07-24,
12-07-24,"Blue Balu Co.Ltd.",,บิลเงินสด,89413,50,85,4250,"เคมี 2 ใบ ขาว ฟ้า ","1สี คือ ดำ","รันเลขที่2501-5000/ล.51-10 ปรุหัว 1 ใบ เย็บ 50 ใบ/ชุด",,Pl,"ตัด 5",เมฆ,สาว,N,12-07-24,
12-07-24,Tembo,,"Name Card  K.Meairin Champahom",90389,200,4.5,900,"อาร์ต 300g.","4 สี CMYK",,,ปัด,"Digital Print",ปัด,สาว,N,12-07-24,
12-07-24,"Santiburi Beach Resort",H,"Name Card",90251,200,6.5,1300,"อาร์ต 350g.","4 สี CMYK","เคลือบ PVC ด้าน 2 ด้าน ไดคัทมุม",,โอ๋,"Digital Print",เป๊ก,สาว,N,12-07-24,
12-07-24,"Conrad Koh Samui",H,"Certificate Voucher Spa",90385,500,6,3000,"อาร์ต 300g.","4 สี CMYK",,,ปัด,"Digital Print",เป๊ก,สาว,N,12-07-24,
12-07-24,"Kob Cafe ",,STK,90249,38,45,1710,pp-ด้าน,"น 4 cmyk",-,,แตงโม,"Digital Print",แตงโม,ตา,N,12-07-24,
