DATE,HOTEL/FIRM,CODE,"JOB DESCRIPTION",JOB.,QTY,PRICE,AMOUNT,PAPER,COLOR,งานหลังพิมพ์,จำนวนเที่ยววิ่ง,ช่างอาร์ต,เครื่องพิมพ์,ช่างพิมพ์,COOR,NEW/OLD,วันที่เสร็จ,TEL.
28-04-23,"Samui Honey Cottages",H,"Menu ",82867,10,60,600,"อาร์ต 300g.","น 4 cmyk ล 4 cmyk","เคลือบPVC ด้าน 2ด้าน ",,ปัด,"Digital Print",ปัด,ตา,N,28-04-23,
28-04-23,อู่ช่างใหม่,O,NC,82648,100,4,400,"การ์ดขาว 240g","น 4 cmyk ล 4 cmyk",-,,ปัด,"Digital Print",ปัด,ตา,O,28-04-23,
28-04-23,Hyatt,,costes,82520,6000,1.75,10500,"mohawk 325 g","น 1 เทา",-,,PL,GTO,เมฆ,ตา,O,28-04-23,
28-04-23,เพชรบัญชา,,"Flyer ",82923,7000,0.90,6300,"อาร์ต 115g.","น 4 cmyk",-,,PL,MO4,ศร+แอร์,ตา,O,28-04-23,
28-04-23,"Jungle Experience",O,"ticket 5 jabuary 2023",82835,5600,1.4,7840,"อาร์ต 128g.","น 4 cmyk","รันNO. 0001-4000 เข้าเล่ม 50 ใบ/เล่ท / รันNO. 4001-2600 เข้าเล่ม",,โอ๋,GTO4,แอร์,ตา,O,28-04-23,
28-04-23,"Belmond Napasai",H,"Flyer ",82969,310,,0,"brick 160 g","น 4 cmyk (อีกชุด น-ล 4 c","festive picnic 100/ festive mulled 10 / festive brochur christma",,"ปัด new PL","Digital Print",ปัด,ตา,N,28-04-23,
28-04-23,"The Ritz-Carlton",H,"leave application form",82932,500,9,4500,"การ์ด 180g","น 1 ดำ ล 1 ดำ",-,,ปัด,"Digital Print",ปัด,ตา,N,28-04-23,
28-04-23,"GEOFF MOYNA",,NC,83466,100,4.50,450,"อาร์ต 300g.","น 4 cmyk",-,,"ปัด new PL","Digital Print",ปัด,ตา,O+R,28-04-23,
28-04-23,ทีเอ็มแอนด์ทัวร์,,voucher,81858,50,75,3750,"เคมี 2 ใบ ขาว-ฟ้า","น 1 ดำ","ปรุข้าง 1ใบ No.001-2500 +เย็บ 50ใบ/ชุด",,โอ๋,"ตัด 5",แบงค์,ตา,O,28-04-23,
28-04-23,"Samui Elephant Haven",TR,"Brochure 3พับ",83361,2000,5.25,10500,"การ์ดขาว 240g","น 4 cmyk ล 4 cmyk",ปั๊มพับ,,PL,GTO4,แอร์,ตา,O,28-04-23,
28-04-23,สมาคมการท่องเที่ยว,,คูปอง,82609,5,,1391,"แบงค์เหลือง 70 g",-,"ปรุ + No. 2 จุด / เข้าเล่ม 100 ใบ/เล่ม / เย็บมุมหลังคา",,ao,"Digital Print",เมฆ,ตา,O,28-04-23,
28-04-23,"nadee samui",,Tag,83073,120,1.50,180,"calf น้ำตาล 230 g","น 4 cmyk",เจาะรูตรงกลาง,,ปัด,"Digital Print",ปัด,ตา,O,28-04-23,
28-04-23,"Kimpton Kitalay Samui",,"STK macaron",83083,10,70,700,"pp matt","น 4 cmyk",-,,ปัด,"Digital Print",ปัด,ตา,O,28-04-23,
28-04-23,"Ad Hoc Beach Cafe",H,NC,83408,100,2,200,"อาร์ต 300g.","น 1 ดำ",-,,ปัด,"Digital Print",ปัด,ตา,O,28-04-23,
28-04-23,"Anantara Bophut",H,"Book Mark Spa",82572,1000,4.2,4200,"brick 270 g","น 4 cmyk",-,,ปัด,"Digital Print",ปัด,ตา,N,28-04-23,
28-04-23,"Dive cabarate",,"Flyer ",83429,5000,1.16,5800,"อาร์ต 128g.","น 4 cmyk",-,,โอ๋,GTO4,แอร์,ตา,O,28-04-23,
28-04-23,"The Beach Samui",H,"miscellanous bill",83294,50,75,3750,"เคมี 3ใบ ขาว-เขียว-ชมพู","น 1 ดำ","ปรุข้าง 2 ใบ No.1001-3500/ล.21-70 +เย็บ 50ใบ/ชุด",,โอ๋,"ตัด 5",แบงค์,ตา,O,28-04-23,
28-04-23,"le barril",,NC,82961,200,3,600,"อาร์ต 300g.","น 4 cmyk",-,,โอ๋,"Digital Print",โอ๋,ตา,N,28-04-23,
28-04-23,"Silavadee Pool Spa Resort",H,Tag-ตรุษจีน,83113,100,5,500,"อาร์ต 300g.","น 4 cmyk",-,,โอ๋,"Digital Print",โอ๋,ตา,N,28-04-23,
28-04-23,"Peace Resort ",H,"STK logo",83091,2000,0.96,1920,pp-ด้าน,"น 4 cmyk",-,,ปัด,"Digital Print",ปัด,ตา,O,28-04-23,
28-04-23,"nadee samui",,NC,82997,100,3.50,350,"อาร์ต 300g.","น 4 cmyk",-,,ปัด,"Digital Print",ปัด,ตา,O,28-04-23,
28-04-23,Hyatt,,"Chinese New Year ",83007,300,5,1500,"อาร์ต 300g.","น 4 cmyk",-,,ปัด,"Digital Print",ปัด,ตา,N,28-04-23,
28-04-23,"Paradise Beach Resort",H,"Letter Head ",83400,3000,1.90,5700,"ปอนด์ 80g ","น 4 cmyk",-,,PL,MO4,แอร์,ตา,O,28-04-23,
28-04-23,"My Cafe",,STK,83103,5,70,350,pp-ด้าน,"น 4 cmyk","กรีด+แพ๊ค 1ซอง",,PL,"Digital Print","laser ",ตา,O,28-04-23,
28-04-23,"Ark Store Bar",,ใบเสร็จรับเงิน/ใบกำกับภาษีอย่างย่อ,83273,500,43,21500,"เคมี 2 ใบ ขาว-ฟ้า","น 1 ดำ","ปรุข้าง 2 ใบ No.0001-25000 /ล.0001-0500+เย็บ 50ใบ/ชุด",,โอ๋,"ตัด 5",เมฆ,ตา,O,28-04-23,
28-04-23,ศศธร,,STK,83088,24,45,1080,pp-ด้าน,"น 4 cmyk","5*5 cm",,โอ๋,"Digital Print",โอ๋,ตา,N,28-04-23,
28-04-23,เฉวงออยล์,,กระดาษปรุกลาง,83003,4,150,600,"กระดาษ A4",-,ปรุกลาง,,PL,บริการอื่นๆ,แบงค์,ตา,N,02-05-23,
28-04-23,Valentin,,NC,83033,100,4,400,"อาร์ต 300g.","น 4 cmyk ล 4 cmyk",-,,โอ๋,"Digital Print",โอ๋,ตา,N,28-04-23,
28-04-23,Buathong,,"STK ทุเรียน",83011,5,65,325,pp-มัน,"น 4 cmyk",-,,โอ๋,"Digital Print",โอ๋,ตา,N,28-04-23,
28-04-23,"The Ritz-Carlton",H,"Turndown Card",83407,5000,1.2,6000,"olin smoth absolut white 250g","น 1 ดำ",-,,โอ๋,GTO,ต้น,ตา,O,28-04-23,
28-04-23,"La Fabrique",R,"Tag paper",82788,5000,1.05,5250,"อาร์ต 300g.","น 4 cmyk",ไดคัท,,โอ๋,"Digital Print",นรินทร์,ตา,O,28-04-23,
28-04-23,"Lotus Hotel",,"Menu ",83319,12,1350,16200,"อาร์ต 300g.","น 4 cmyk ล 4 cmyk","เคลือบด้าน 2 ด้าน +เจาะรู+ใส่เล่ม",,"ปัด ","Digital Print",ปัด,ตา,N,28-04-23,
28-04-23,"Tropical D elice",,STK,83457,1000,0.56,560,pp-ด้าน,"น 1 ดำ",-,,โอ๋,"Digital Print",โอ๋,ตา,O,28-04-23,
28-04-23,"thai fight",,ticket,83475,5,278.2,1391,"แบงค์ฟ้า 70 g","น 1 ดำ","ปรุ 2 ที่ + No. 3 จุด / No. 001-500 / เย็บ 100 ใบ",,"โอ๋ new PL","Digital Print",โอ๋,ตา,N,28-04-23,
28-04-23,"อานัท รถเช่า",,NC,83016,100,3,300,"อาร์ต 300g.","น 4 cmyk",-,,ปัด,"Digital Print",ปัด,ตา,N,28-04-23,
28-04-23,"4 u resort",,"BKF - coupong",83484,10,160,1600,"ธรรมดา 1 แบงค์ครีม 70 g ","น 1 ดำ","ปรุ 1 ที่ เย็บ 100 ใบ/ชุด No. 1001-2000",,PL,"ตัด 5",เมฆ,ตา,N,28-04-23,
28-04-23,Green-Magic,,"STK logo",83097,4,100,400,pp-ด้าน,"น 4 cmyk",-,,โอ๋,"Digital Print",โอ๋,ตา,N,28-04-23,
28-04-23,"Belmond Napasai",H,"Do not - service Attempt Card ",80915,1000,4,4000,"RDV 270 g","น 1 ดำ ล 1 ดำ",-,,"ปัด new PL",GTO,ต้น,ตา,N,28-04-23,
28-04-23,กาละแมแม่พิณ,O,"STK ติดถุง",83437,10,50,500,"stk ขาวมัน","น 4 cmyk",ไดคัท,,ปัด,"Digital Print",นรินทร์,ตา,N,28-04-23,
28-04-23,"The Ritz-Carlton",H,"respecting your privacy card",83278,1000,3.95,3950,"การ์ดขาว 240g","น 1 ดำ ล 1 ดำ",ไดคัท+บล็อคเก่า,,โอ๋,"ตัด 11",นรินทร์,ตา,N,28-04-23,
28-04-23,"Bophut Resort & Spa",H,ที่คล้องคอขวด,83413,1000,2,2000,"อาร์ต 157g.","น 1 น้ำตาล",ไดคัท+บล็อคเก่า,,pl,GTO,ต้น,ตา,N,28-04-23,
28-04-23,"W Koh Samui ",H,"personal date",82680,100,42,4200,"การ์ดขาว 240g","น 1 เทา ล1 เทา","ปัมพับ+เจาะรู / ใส่สันแฟ้มสีเงิน",,โอ๋,MO,ศร+ต้น,ตา,N,28-04-23,
28-04-23,ททท.ศูนย์สมุย,G,"Flyer ",83286,800,,6000,"อาร์ต 300g.","น 4 cmyk",แพ็ค,,โอ๋,"Digital Print",แอร์+ศร,ตา,N,28-04-23,
28-04-23,เพชรบัญชา,,"Flyer ",83002,8000,0.90,7200,"อาร์ต 115g.","น 4 cmyk","แพ็ค 2000 ใบ 4 ห่อ",,PL,MO4,แอร์+ศร,ตา,N,28-04-23,
28-04-23,เพชรบัญชา,,"Cash Sale",83289,100,50,5000,"เคมี 3 ใบ ขาว-เขียว-ชมพู","น 1 ดำ","ปรุหัว 3 ใบ No.001-5000/ล.01-100 +เย็บ 50ใบ/ชุด",,โอ๋,"ตัด 5",เมฆ,ตา,N,28-04-23,
28-04-23,"EL Dorado",R,บิลเงินสด,83320,50,40,2000,"ธรรมดา ขาว 70 g","น 1 ดำ","ปรุหัว No.001-5000 +เย็บ 100ใบ/ชุด",,PL,"ตัด 5",แบงค์,ตา,N,28-04-23,
28-04-23,"Bhundhari Spa Resort & Villas",H,"purchase reguest ",83359,25,87,2175,"เคมี 2 ใบ ขาว-เหลือง","น 1 ดำ","ปรุข้าง 1 ใบ No.1251-2500 +เย็บ 50ใบ/ชุด",,PL,"ตัด 5",แบงค์,ตา,O,28-04-23,
28-04-23,"หจก. พรพสุ",,ใบส่งของชั่วคราว,82832,30,80,2400,"เคมี 3 ใบ ขาว ชมพุ บรุ๊ฟ","น 1 ดำ","ปรุหัว 2 ใบ No.001-1500 ล.001-030 +เย็บ 50ใบ/ชุด",,โอ๋,"ตัด 5",เมฆ,ตา,N,28-04-23,
28-04-23,"Montien House",H,"captain order",83366,100,53,5300,"เคมี 3 ขาว-เหลือง-ฟ้า","น 1 น้ำเงิน","ปรุหัว 2 ใบ No.35001-40000/ล.701-800 +เย็บ 50ใบ/ชุด",,PL,"ตัด 5",เมฆ,ตา,N,28-04-23,
28-04-23,"Kimpton Kitalay Samui",,"stk macaron",83038,10,70,700,"pp matt","cmyk 1 side ",,,ปัด,"Digital Print","laser ",ตา,N,28-04-23,
02-05-23,"จัสมิน แอนด์ ที เฮาส์",,NC,83397,100,5,500,"brisk 270 g","น 4 cmyk ล 4 cmyk","ตัดมุม 4 มุม",,"ปัด new PL","Digital Print",ปัด,ตา,N,02-05-23,
02-05-23,K.Donna,O,STK,83099,100,2.8,280,pp-ด้าน,"น 4 cmyk",-,,ปัด,"Digital Print",ปัด,ตา,N,02-05-23,
02-05-23,"Fair House Villa & Spa",H,ใบเสร็จรับเงิน/ใบกำกับภาษีอย่างย่อ,83402,50,70,3500,"เคมี 3 ใบ ขาว-ชมพู-เขียว","น 1 น้ำเงิน","ปรุหัว 2 ใบ No17501-20000/ล.351-400 +เย็บ 50ใบ/ชุด",,โอ๋,"ตัด 5",เมฆ,ตา,N,02-05-23,
02-05-23,เพชรบัญชา,,"Flyer ",83014,8000,0.90,7200,"อาร์ต 115g.","น 4 cmyk",-,,"โอ๋ new PL",MO4,ต้น,ตา,N,02-05-23,
02-05-23,"Avani Samui (Sunset Coast)",H,"laundry bill",83427,10,250,2500,"เคมี 3 ใบ ขาว-ฟ้า-เหลือง","น 1 ดำ","ปรุหัว 3 ใบ No.501-1000/ล.11-20 +เย็บ 50ใบ/ชุด",,PL,"ตัด 5",แบงค์,ตา,N,02-05-23,
02-05-23,"Centara Reserve Samui",,"Flyer ",83063,500,8.50,4250,"การ์ดขาว 240g","น 4 cmyk ล 4 cmyk",A5,,ปัด,"Digital Print",ปัด,ตา,N,02-05-23,
02-05-23,"Phangan Bayshore Resort",H,NC,83453,600,3.50,2100,"อาร์ต 300g.","น 4 cmyk ล 4 cmyk",-,,โอ๋,"Digital Print",ปัด,ตา,N,02-05-23,
02-05-23,"สมุย กรีน โฮเต็ล (T.A.C)",O,ใบเสร็จรับเงิน/ใบกำกับภาษีอย่างย่อ,82756,50,75,3750,"เคมี 3 ใบ ขาว-ฟ้า-ชมพู","น 1 ดำ","ปรุหัว 2 ใบ No.5001-7500/ล.101-150 +เย็บ 50ใบ/ชุด",,โอ๋,"ตัด 5",เมฆ,ตา,N,02-05-23,
02-05-23,"Boss Tailor",,NC,82523,1000,4,4000,"อาร์ต 300g.","น 1 ดำ ล 1 ดำ",-,,"ปัด new PL","Digital Print",ปัด,ตา,N,02-05-23,
02-05-23,น้องกวาง,,STK,83499,3,65,195,pp-ด้าน,"น 4 cmyk",-,,ปัด,"Digital Print",ปัด,ตา,N,02-05-23,
02-05-23,"Island Experiences",TR,voucher,83391,20,145,2900,"เคมี 3 ใบ ขาว-ฟ้า-เหลือง","น 1 ดำ","No.1001-2000 +เย็บ 50ใบ/ชุด",,PL,"ตัด 5",แบงค์,ตา,O,02-05-23,
02-05-23,นายบัณฑิต,,การ์ดบวช,83389,500,6,3000,บวชใหญ่,"น 1 น้ำเงิน",-,,โอ๋,บริการอื่นๆ,โอ๋,ตา,N,02-05-23,
02-05-23,"มหาเทพประทาน บจก.",O,ใบส่งของ/ใบกำหับภาษี,82976,50,120,6000,"เคมี 4 ใบ ขาว-ชมพู-ฟ้า-เหลือง","น 1 ดำ","ปรุหัว 2 ใบ No.32251-34750/ล.646-695 +เย็บ 50ใบ/ชุด",,โอ๋,"ตัด 5",เมฆ,ตา,N,02-05-23,
02-05-23,"The Sea Koh Samui",H,NC,83299,100,4,400,"อาร์ต 300g.","น 4 cmyk ล 4 cmyk",-,,"ปัด new PL","Digital Print",ปัด,ตา,N,02-05-23,
02-05-23,"Sala Samui Resort & Spa(เฉวง)",H,"Welcome Card",82902,5000,4,20000,"Cx 22 D/W 270g. ","น 1 เทา",ปัมพับ,,PL,GTO,ต้น,ตา,N,02-05-23,
02-05-23,ครัวคุณหญิงสมุย,R,NC,83365,500,3,1500,"อาร์ต 300g.","น 4 cmyk ล 4 cmyk",-,,ปัด,"Digital Print",ปัด,ตา,O,02-05-23,
02-05-23,"Orchid House",O,NC,83470,500,3.21,1605,"การ์ดขาว 350 g ","น 4 cmyk",-,,ปัด,"Digital Print",ปัด,ตา,O,02-05-23,
02-05-23,"Chaweng Garden Beach Resort",H,"Your Persound",83331,100,65,6500,"เคมี 4 ใบ ขาว-เขียว-ฟ้า-เหลือง","น 1 ดำ","ปรุหัว 2 ใบ No.7501-12500 +เย็บ 50ใบ/ชุด",,ปัด,"ตัด 5",เมฆ,ตา,O+R,02-05-23,
02-05-23,"Samujana Koh Samui",H,voucher,83460,100,100,10000,"เคมี 4 ใบ ขาว-ชมพู-เหลือง-ฟ้า","น 1 ดำ","ปรุหัว 3 ใบ No. 55001-60000/ล. 1101-1200 + เย็บ 50ใบ/ชุด",,ปัด,"ตัด 5",แบงค์,ตา,O,02-05-23,
02-05-23,"Treehouse Silent Beach",TR,"captain order",83456,100,40,4000,"เคมี 2 ใบ ขาว-เขียว","น 1 ดำ","ปรุหัว 1 ใบ No.15001-20000 +เย็บ 50ใบ/ชุด",,PL,"ตัด 5",เมฆ,ตา,O,02-05-23,
02-05-23,"Garrya Tongsai Bay samui",,"Luggage Tag",83372,2000,3.5,7000,wove_B/W120g,"น 2 ส้ม เทา","ปรุ 1 จุด +เจาะรู ด้านขวา+ผูกเชือก+ตีเลข1001-3000",,PL,GTO4,ต้น,ตา,O,02-05-23,
02-05-23,"Conrad Koh Samui (Residence)",H,"Letter Head Residence",83363,5000,1.25,6250,"ปอนด์ 80g ","น 2 น้ำเงิน ทอง",-,,PL,MO4,ศร+ต้น,ตา,O,02-05-23,
02-05-23,"Conrad Koh Samui Residence)",,"Letter Head Residence",83362,10000,1.25,12500,"ปอนด์ 80g ","น 2 น้ำเงิน ทอง",-,,PL,MO4,ศร+ต้น,ตา,O,02-05-23,
02-05-23,"Lipa Lodge Beach Resort",H,STK,83492,2,70,140,pp-ด้าน,"น 4 cmyk",-,,PL,"Digital Print",ปัด,ตา,O,02-05-23,
02-05-23,"Namuang Waterfall 2",O,ticket,83385,100,70,7000,"อาร์ต 115g.","น 4 cmyk","No.5001-10000 / เข้าเล่ม 50 ใบ/เล่ม",,โอ๋,GTO4,แอร์,ตา,O,02-05-23,
02-05-23,"Passa Restaurant",R,"Menu ",83388,2,150,800,"อาร์ต 300g.","น 4 cmyk ล 4 cmyk","เคลือบPVC ด้าน 2ด้าน + ปั๊มพับ / ค่าบล๊อก 500",,ปัด,"Digital Print",ปัด,ตา,N,02-05-23,
