DATE,HOTEL/FIRM,CODE,"JOB DESCRIPTION",JOB.,QTY,PRICE,AMOUNT,PAPER,COLOR,งานหลังพิมพ์,จำนวนเที่ยววิ่ง,ช่างอาร์ต,เครื่องพิมพ์,ช่างพิมพ์,COOR,NEW/OLD,วันที่เสร็จ,TEL.
13-12-24,"Four Seasons Resort",H,"Garden Tour Map",91954,500,"14 นอก",7000,"การ์ดขาว 180g.","น 4 cmyk ล 4 cmyk",ปั๊มพับ,,Pl,MO4,"ศร + ต้น",สาว,N,13-12-24,
13-12-24,"The Beach Samui (Sabai Sabai)",,"Hotel Taxi Card",91388,2000,"3.2 นอก",6848,"อาร์ต 260g.","น 4 cmyk ล 4 cmyk",ปั๊มพับ,,Pl,GTO4,แอร์,สาว,N,13-12-24,
13-12-24,"The Fair House Beach Resort & Hotel",H,"ใบเสร็จรับเงิน / ใบกำกับภาษีอย่างย่อ",91173,50,"85 นอก",4250,"เคมี 3 ใบ ขาว ชมพู เขียว","น 1 น้ำเงิน","รันเลขที่35001-37500/ล.701-750 ปรุหัว 2 ใบ เย็บ 50 ใบ/ชุด",,Pl,"ตัด 5",เดียร์,สาว,N,13-12-24,
13-12-24,"The Pier Travel Service",TR,Voucher,91006,20,"95 นอก",1900,"เคมี 2 ใบ ขาว ฟ้า ","น 1 ดำ","รันเลขที่1001-2000/ล.21-40 ปรุข้าง 2 ใบ เย็บ 50 ใบ/ชุด",,Pl,"ตัด 5",เดียร์,สาว,N,13-12-24,
13-12-24,"Anantara Rasananda (Koh Phangan)",H,"Captain Order ",91661,50,"65 นอก",3250,"เคมี 3 ใบ ขาว ชมพู เหลือง","น 1 ดำ","รันเลขที่17501-20000/ล.351-400 ปรุหัว 2 ใบ เย็บ 50 ใบ/ชุด",,Pl,"ตัด 5",เมฆ,สาว,N,13-12-24,
13-12-24,"สำนักงาน ศิริรัตน์ มาเจริญ",O,"ใบเสร็จรับเงิน ",91565,20,"100 นอก",2000,"เคมี 2 ใบ ขาว ชมพู","น 1 น้ำเงิน","รันเลขที่0001-1000/ล.01-20 ปรุหัว 1 ใบ เย็บ 50 ใบ/ชุด",,Pl,"ตัด 5",เดียร์,สาว,N,13-12-24,
13-12-24,โชคทวีคูณฟาร์ม,O,ใบส่งของ,91053,50,"100 นอก",5000,"เคมี 3 ใบ ขาว ชมพู ฟ้า","น 1 น้ำเงิน","รันเลขที่20001-22500/ล.401-450 ปรุหัว 2 ใบ เย็บ 50 ใบ/ชุด",,Pl,"ตัด 5",เดียร์,สาว,N,13-12-24,
13-12-24,"หจก.กิตติวรินทร์ ทรานสปอร์ต",,ใบส่งของชั่วคราว,91188,50,"65 นอก",3250,"เคมี 2 ใบ ขาว ชมพู","น 1 ดำ","รันเลขที่7501-10000/ล.151-200 ปรุหัว 1 ใบ เย็บ 50 ใบ/ชุด",,Pl,"ตัด 5",เดียร์,สาว,N,13-12-24,
13-12-24,"Lamai Night Market",,"Print Sticker Logo",91446,5,"65 ใน",325,"PP ด้าน","น 4 cmyk ",-,,เป๊ก,"Digital Print","laser ",สาว,N,13-12-24,
13-12-24,"Sea Valley Hotel ",,"Flyer New Year A5/4""x8""",91010,5,"12.5-10 นอก",575,"อาร์ต 157g.","น 4 cmyk ",-,,แตงโม,"Digital Print","laser ",สาว,N,13-12-24,
13-12-24,"OK Fisthess",,"บัตรรายเดือน / บัตรราย 10 วัน",91051,700,"3.5 นอก",2450,"การ์ดขาว 240g.","น 4 cmyk ",-,,โอ๋,"Digital Print","laser ",สาว,N,13-12-24,
13-12-24,"โรงพยาบาลเกาะสมุย ",HP,"Print Sticker ติดยา",91500,4000,"0.43 นอก",1720,"PP ด้าน","น 4 cmyk ",-,,แตงโม,"Digital Print","laser ",สาว,N,13-12-24,
13-12-24,"Cash (ร้านอร่อยดี)",,"Print Menu A4",91025,150,"20 ใน",3000,"อาร์ต 300g.","น 4 cmyk ",-,,แตงโม,"Digital Print","laser ",สาว,N,13-12-24,
13-12-24,"Anantara Rasananda (Koh Phangan)",H,"Environment Card ",91019,200,"8 นอก",1600,"Brisk 270g","น 4 cmyk ",-,,ปัด,"Digital Print","laser ",สาว,N,13-12-24,
13-12-24,"Centara Reserve Samui",,"Print Sticker Logo ติดกล่องคุกกี้",91118,100,"3.5 นอก",350,"PP ด้าน","น 4 cmyk ",-,,แตงโม,"Digital Print","laser ",สาว,N,13-12-24,
13-12-24,"Baan Haad Ngam Boutique Resort & Spa",H,"Name Card K.Varunee",91072,200,"4.5 นอก",900,"Brisk 270g","น 4 cmyk ล 4 cmyk",-,,ปัด,"Digital Print","laser ",สาว,N,13-12-24,
13-12-24,"Burirasa Samui",,"Name Card K.Pichawan",91071,100,"4.5 นอก",450,"อาร์ต 300g.","น 4 cmyk ล 4 cmyk",-,,ปัด,"Digital Print","laser ",สาว,N,13-12-24,
13-12-24,Maraleina,,"Name Card CSSB",91130,100,"3.5 นอก",350,"อาร์ต 300g.","น 4 cmyk ล 4 cmyk",-,,โอ๋,"Digital Print","laser ",สาว,N,13-12-24,
13-12-24,"Lamphu Samui",,"Print Name Tag",91133,35,"2.5 นอก",87.5,"Yopo 250 microns","น 4 cmyk ",-,,โอ๋,"Digital Print","laser ",สาว,N,13-12-24,
13-12-24,"Lamphu สุขุมวิทย์",,"Print Name Tag",91131,45,"2.5 นอก",112.5,"Yopo 250 microns","น 4 cmyk ",-,,โอ๋,"Digital Print","laser ",สาว,N,13-12-24,
13-12-24,"Lamphu มีนบุรี",,"Print Name Tag",91132,95,"2.5 นอก",237.5,"Yopo 250 microns","น 4 cmyk ",-,,โอ๋,"Digital Print","laser ",สาว,N,13-12-24,
16-12-24,แม่เลียบโต๊ะจีน,,"Vinyl 6 x 2.5 m. Happy New Year",03478,1,"3750 ใน",3750,Vinyl,"น 4 cmyk ",ตอกตาไก่,,แตงโม,อิ้งเจ็ท,ต้อม,สาว,N,16-12-24,
16-12-24,"Four Seasons Resort",H,"Print Photo Paper 42.5 x 53.5 cm. KOH",03038,2,"300 นอก",600,"Photo Paper","น 4 cmyk ",-,,โอ๋,อิ้งเจ็ท,ต้อม,สาว,N,16-12-24,
16-12-24,เพชรบัญชา,,Tiket,91977,700,"29 ใน",20300,"อาร์ต 115g.","น 4 cmyk ","ปรุ 2 จุด เข้าเล่ม 50 ใบ/เล่ม แพ็คมัดย่อย 10เล่ม/มัด",,Pl,MO4,"ศร + ต้น",สาว,N,16-12-24,
16-12-24,เพชรบัญชา,,"Flyer มวย หน้า-หลัง /หน้าเดียว",92101,5000-5000,"0.963 ใน",9630,"อาร์ต 115g.","น 4 cmyk ล 4 cmyk ",-,,Pl,MO4,ศร,สาว,N,16-12-24,
16-12-24,Markland,,"Name Card K.Allard Nooy",91042,200,"4.5 ใน",900,"อาร์ต 300g.","น 4 cmyk ล 4 cmyk",-,,แตงโม,"Digital Print","laser ",สาว,N,16-12-24,
16-12-24,"Haven Samui",,"Flyer A5 Happy Hour",91043,1000,"4.65 นอก",4650,"อาร์ต 157g.","น 4 cmyk ล 4 cmyk",-,,ปัด,"Digital Print","laser ",สาว,N,16-12-24,
16-12-24,"Four Seasons Resort",H,"Print Menu Kiods Menu Pla Pla /KOH",91953,500-500,"13 นอก",13000,"การ์ดขาว 120g.","น 4 cmyk ล 4 cmyk",-,,โอ๋,"Digital Print","laser ",สาว,N,16-12-24,
16-12-24,Dreamcatcher,,"Print Menu",91136,3,"60 นอก",180,"อาร์ต 300g.","น 4 cmyk ",-,,โอ๋,"Digital Print","laser ",สาว,N,16-12-24,
16-12-24,"Centara Reserve Samui",,"Print Safety Seal StickerStill water Gray Matt",91332,11700,"1 นอก",11700,"PP ด้าน","น 4 cmyk ",ไดคัท,,โอ๋,"Digital Print","laser ",สาว,N,16-12-24,
16-12-24,"Samui Fishing Club",,"Print Poster A3 / A4",91138,37-9,"45-90 นอก",2475,"อาร์ต 300g.","น 4 cmyk ",-,,โอ๋,"Digital Print","laser ",สาว,N,16-12-24,
16-12-24,บางสะพานรีสอร์ท,,ปฏิทิน,91536,100,"195 นอก",19500,"การ์ดขาว 210g.","น 4 cmyk ล 4 cmyk",-,,ปัด,"Digital Print","laser ",สาว,N,16-12-24,
16-12-24,ซอสพริกคี้เอ็งพานิช,,"Print Colour A3 Sticker",91059,50,"40 ใน",2000,"PP ด้าน","น 4 cmyk ",-,,ปัด,"Digital Print","laser ",สาว,N,16-12-24,
16-12-24,"Thalas Rooftop",,"Print Christmas Event Menu A4/A5/A6",92051,41-4-3,"30-30-20 นอก",1410,"อาร์ต 300g.","น 4 cmyk ล 4 cmyk",-,,แตงโม,"Digital Print","laser ",สาว,N,16-12-24,
16-12-24,"The Thai Tapas",,"Print Menu A4 /A5",91037,79-12,"50-25 นอก",4250,"KTV 270g.","น 4 cmyk ",-,,ปัด,"Digital Print","laser ",สาว,N,16-12-24,
16-12-24,"The Thai Tapas",,Flyer,91026,500,"5 นอก",2500,"อาร์ต 157g.","น 4 cmyk ล 4 cmyk",-,,ปัด,"Digital Print","laser ",สาว,N,16-12-24,
16-12-24,ม่อนขนมเปี๊ยะ,O,"Print Colour A3 Sticker",91099,4,"70 ใน",280,"Sticker PP เงา","น 4 cmyk ",-,,ปัด,"Digital Print","laser ",สาว,N,16-12-24,
17-12-24,K.Juliette,,"Print Sticker A1 ติดอคริลิค ลูกค้า",03466,1,"400 ใน",400,"Sticker PP","น 4 cmyk ",-,,แตงโม,อิ้งเจ็ท,ต้อม,สาว,N,17-12-24,
