DATE,HOTEL/FIRM,CODE,"JOB DESCRIPTION",JOB.,QTY,PRICE,AMOUNT,PAPER,COLOR,งานหลังพิมพ์,จำนวนเที่ยววิ่ง,ช่างอาร์ต,เครื่องพิมพ์,ช่างพิมพ์,COOR,NEW/OLD,วันที่เสร็จ,TEL.
30-10-20,"Candy Marvel",O,Sticker,75334,4,70,280,"STK.ขาวมันหลังเขียว ","น-Print สี",,4(A:3),โบว์,"Digital Print",โบว์,สาว,N,30-10-20,
30-10-20,Topcoat,O,Sticker,75198,3(A:3),70,210,"STK.PP ขาวเงา V.ใน","น-Print สี","กรีดมือ 1*1.5 ซม.",3(A:3),ติ๋ว,"Digital Print",ติ๋ว,ตา,N,30-10-20,
30-10-20,"Say Cheeze Cafe",O,Sticker,75199,3(A:3),60,180,"STK.PPด้าน (3.5cm.) ","น-Print สี","ไดคัท Inkjet",3(A:3),ติ๋ว,"Digital Print",ติ๋ว,ตา,N,30-10-20,
30-10-20,"Four Seasons Resort",H,"Stk. - Sanitized For Your Sefety",75282,3000,0.27,810,"STK.ขาวมันหลังเขียว ",น-CMYK,"ไดคัท Inkjet",26(A:3),โบว์,"Digital Print",โบว์,ตา,O,03-11-20,
30-10-20,"The Ritz-Carlton",H,"Gift Certificate",75283,800,3.75,3000,"การ์ดขาว240g. V.นอก","น-ล CMYK","No. SA7000-SA7800",134(A:3),แก่น,"Digital Print",แก่น,ตา,O,09-11-20,
02-11-20,"The Nature Samui",O,Stk.เมล็ดพันธุ์,75285,8,50,400,"STK.ขาวมันหลังเขียว (4ซม.)","น-Print สี","ไดคัท Inkjet",10(A:3),โบว์,"Digital Print",โบว์,ตา,N,11-11-20,
02-11-20,MP,O,STK.Logo,75286,"9 ใบ",40,360,"STK.ขาวมันหลังเขียว ",น-CMYK,"ไดคัท Inkjet",9(A:3),โอ๋,"Digital Print",โอ๋,ตา,O+R,09-11-20,
02-11-20,สบู่กลูต้าผิวขาว,O,STK.Logo,75287,2,50,100,"STK.ขาวมันหลังเขียว ",น-CMYK,"ไดคัท Inkjet",2(A:4),โบว์,"Digital Print",โบว์,ตา,N,09-11-20,
02-11-20,"โอทูเค ฟิตเนส (O2K)",O,"Member Card (ราย10วัน)",75284,100,4,400,การ์ดขาว240g,"น-ล CMYK",ตัด,5(A:3),แก่น,"Digital Print",แก่น,ตา,O,02-11-20,
02-11-20,"Banana Fan Sea Resort",H,"NC - Nathapong",75345,400,5,2000,"Snow White 300g. V.นอก","น-ล Print สี",น-ปั๊มทอง+ตัด,40(A:4),แก่น,"Digital Print",แก่น,สาว,O,04-11-20,
02-11-20,"พรพสุ หจก.",O,สมุดใบสั่งน้ำมันบางจาก,75344,100,45,4500,"ธรรมดาขาว55g V.นอก",สีดำ,"ปรุกลาง+เย็บ100ใบ No.00001-10000",5000,โบว์,"ตัด 5",เมฆ,สาว,N,03-12-20,095-2566546
02-11-20,"พรพสุ หจก.",O,"ใบเสร็จรับเงิน / ใบกำกับภาษี",75343,50,40,2000,"ธรรมดาขาว-ปรู๊ฟ V.นอก",สีน้ำเงิน,"ปรุหัว2ใบ No.00001-02500 (ล.001-050)",2500,โบว์,"ตัด 5",ตู่,สาว,O+R,25-11-20,
02-11-20,คุณชนาธิป,O,การ์ดแต่งงานสำเร็จรูป+ซอง,75288,100,7,700,การ์ดสำเร็จรูป+ซอง,สีชมพู,แพ็ค,100,ติ๋ว,บริการอื่นๆ,อิ๋ว(โรเนียว),ตา,N,04-11-20,
02-11-20,"Nira 's Home Bakery",R,"Captain Order",75347,500,36,18000,"เคมีขาว-ฟ้า-เหลือง V.นอก",สีดำ,"ปรุหัว2ใบ+เย็บ50ใบ No.00001-25000 (ล.001-500)",18750,PL,"ตัด 5",เมฆ,สาว,O,16-11-20,
02-11-20,"Conrad Koh Samui",H,"Flyer - A:5 ",75348,1000,3.65,3650,"อาร์ต157g. V.นอก","น-ล CMYK",ตัด,580,แก่น,GTO4,"ศร,ต้น",สาว,O+R,04-11-20,
02-11-20,"ร้านนั่งเล่น Relax",R,"Menu A:4",75339,48,20,960,"อาร์ต 300g. V.ใน","น-ล Print สี",,48,โอ๋,"Digital Print",โอ๋,สาว,N,02-11-20,
02-11-20,"Koh Tao Koh Nangyuan World Destination",TR,Ticket,75337,20,95,1900,"ปอนด์ขาว100 g.",สีเขียว,"ปรุ4จุด+No.3จุด 0001-2000 ตีปก01-20",1000,โบว์,"ตัด 5","ตู่,เมฆ",สาว,N,02-11-20,
02-11-20,"โลโก้ช็อป (ร้าน)",O,"Print Vinyl - Banner ชาบู",18612,2,140,280,"ไวนิล 70x100 cm",SWJ,ไม่ตอกตาไก่เหลือขอบรอบไม่พับ,,,อิ้งเจ็ท,,โอ๋,N,03-11-20,
02-11-20,"โลโก้ช็อป (ร้าน)",O,"Print Vinyl - Banner",18684,1+1,100+580,680,ไวนิลขาวทึบ,SWJ,ไม่ตอกตาไก่เหลือขอบรอบไม่พับ,,,"Digital Print",,โอ๋,N,03-11-20,
02-11-20,"โลโก้ช็อป (ร้าน)",O,"Print Vinyl - ไก่ทอดบ้านส้อง",18694,1+1,320+300,620,ไวนิลขาวทึบ,SWJ,ไม่ตอกตาไก่เหลือขอบรอบไม่พับ,,,อิ้งเจ็ท,,โอ๋,N,03-11-20,
02-11-20,"โลโก้ช็อป (ร้าน)",O,"Print Laser - St. Logo มิสปูน          ",18661,5,50,250,"STK.ขาวมันหลังเขียว ",Laser,"2.5*4 ซม.",,,อิ้งเจ็ท,,โอ๋,N,03-11-20,
02-11-20,กะละแมแม่ธัญญา,O,"Sticker - ติดถุงกาละแม ",75350,5000,1,5000,"STK.ขาวมันหลังเขียว ",น-CMYK,"ไดคัท(บล็อคเก่า) Stock520ดวง",640,PL,GTO4,"ศร,ต้น",สาว,O,13-11-20,
