DATE,HOTEL/FIRM,CODE,"JOB DESCRIPTION",JOB.,QTY,PRICE,AMOUNT,PAPER,COLOR,งานหลังพิมพ์,จำนวนเที่ยววิ่ง,ช่างอาร์ต,เครื่องพิมพ์,ช่างพิมพ์,COOR,NEW/OLD,วันที่เสร็จ,TEL.
24-12-20,"Beryl Bar (Laem Yai Bay)",R,Menu,76296,2,250,500,"อาร์ต 300g. ","น-ล Print สี",เคลือบแข็ง+เข้าเล่มใส่ห่วงเหล็ก,"2 ล.",ติ๋ว,"Digital Print",ติ๋ว,สาว,O+R,04-01-21,092-5821285
25-12-20,"Anantara Lawana Resort & Spa",H,"Popcorn Tag",76321,300,5,1500,"STK.PPมัน V.นอก",น-CMYK,กรีด,"25 ใบ",แก่น,"Digital Print",แก่น,ตา,N,30-12-20,
25-12-20,"The Ritz-Carlton",H,"Stk.After Sun",76322,494,2,988,"Sticker ใส V.นอก",น-CMYK,กรีด,"16 ใบ",แก่น,"Digital Print",แก่น,ตา,N,26-01-21,
28-12-20,โรงเรียนปัญญาดี,S,"Work Book (สมุดเส้นคู่ A:4)",76365,3500,24,84000,"ปกอาร์ต157g+เนื้อในปอนด์ขาว80g V.นอก",ปก4สี+เนื้อในดำ,"ปั๊มพับ+เย็บมุงหลังคา (16คู่)",1830,PL,MO4,"ศร,ต้น",สาว,O,28-12-20,
28-12-20,คุณปัทม์,O,"Poster A:4",76391,"9 ใบ",20,180,"อาร์ต 300g. ","น-ล Print สี",ตัด,9(A:4),โบว์,"Digital Print",โบว์,สาว,N,28-12-20,
28-12-20,"Copper Pot",O,"Sticker - วงกลม",76303,3(A:3),50,150,"STK.PPด้าน ",น-CMYK,"ไดคัท Inkjet (ขนาด4ซม.)",3(A:3),ติ๋ว,"Digital Print",ติ๋ว,ตา,N,28-12-20,
28-12-20,"Sun And Moon",O,Sticker,74236,4(A:3),65,260,"STK.PPด้าน ","น-Print สี","Label 9.8*7.5ซม. / Bar 7*1 ซม.",4(A:3),โบว์,"Digital Print",โบว์,ตา,N,28-12-20,
28-12-20,ก๋วยเตี๋ยวเรือคุณพ่อ,R,"Poster A:3",74235,3+2,70+100,410,"พลาสติก 250 Micron",,,5(A:3),โบว์,"Digital Print",โบว์,ตา,N,28-12-20,
28-12-20,สมาคมส่งเสริมการท่องเที่ยวเกาะสมุย,O,"NC - รัชชพร,ศุภฤกษ์",76323,300*2,4,2400,"อาร์ต 300g. V.ใน","น-ล Print สี",เคลือบPVCด้าน2ด้าน,15(A:3),แก่น,"Digital Print",แก่น,ตา,O+R,08-01-21,
28-12-20,"Thai International Hospital",HP,"Letter Head  A:4",76324,10000,0.75,7500,"ปอนด์ 80g.TPI 25*35.5 V.นอก",หน้าฟ้า,ตัด,2600,PL,MO,ต้น,ตา,O,16-02-21,
28-12-20,"Thai International Hospital",HP,"Envelope Logo 9/125",76325,10000,1.43,14300,"ซองขาวฝาขนาน 9/125 V.นอก",สีฟ้า,แพ็ค,10050,PL(N),"ตัด 11",ตู่,ตา,O,16-02-21,
28-12-20,"Bangmakham Beach Restaurant",R,Menu,76454,"12 ชุด",230,2760,"อาร์ต 300g. V.ใน","น-ล Print สี",เคลือบแข็ง+เข้าเล่มห่วงกระดูกงู,"12 ชุด",ติ๋ว,"Digital Print",ติ๋ว,สาว,O+R,04-01-21,
28-12-20,คุณฉัตร,O,"Menu A:4",76295,"18 ใบ",25,450,"อาร์ต 300g. V.ใน","น-ล CMYK","เคลือบPVCด้าน2ด้าน                                              ","18 ใบ",ติ๋ว,"Digital Print",ติ๋ว,สาว,N,28-12-20,
28-12-20,"Samui Nature Life",H,"Flyer - ลูกประคบ",76452,300,3,900,"อาร์ตมัน157g. V.ใน","น-Print สี",ตัด,43(A:3),โอ๋,"Digital Print",โอ๋,สาว,O,28-12-20,
28-12-20,"Anantara Bophut",H,"Spa Menu",76404,10+10,385+35,4200,"Wove Brilliant White 220g. V.นอก","น-ล CMYK",ไดคัทติดเล่มกระเป๋า+ปั๊มพับ+เย็บมุงหลังคา,49(A:3),แก่น,"Digital Print",แก่น,ตา,N,28-12-20,
29-12-20,การไฟฟ้าส่วนภูมิภาคอำเภอเกาะสมุย,G,"ตัดสติกเกอร์ติดอคิลิค (ป้ายพื้นที่วางเสา)",18875,7,500,3500,สติกเกอร์สีขาว,CT,"20*60 ซม.",,,สติีกเกอร์,,โอ๋,N,29-12-20,
29-12-20,K.Russell,O,"Print St.ติดอคิลิค - Pool Rules",18860,2,500,1000,"สติกเกอร์ขาวมัน A2",JV33,"Eng 1 / Thai1",,,อิ้งเจ็ท,,โอ๋,N,29-12-20,
29-12-20,"Sabeinglae Restaurant 1",R,บิลเคมีเปล่า,76326,300,15,4500,"เคมีขาว-เขียว V.ใน",ไม่พิมพ์,"กาว50ชุด (4""*6"")",,,บริการอื่นๆ,,ตา,O,30-12-20,
29-12-20,นางประคอง,O,"Print St.ป้ายงานศพ (นางประคอง)",18881,1,200,200,สติกเกอร์ขาวมัน,SWJ,,,,อิ้งเจ็ท,,โอ๋,N,29-12-20,
29-12-20,"Amari Koh Samui",H,"Print Photo Paper - Poster",18879,9,200,1800,"โฟโต้เปเปอร์แบบมัน A2",JV33,,,,อิ้งเจ็ท,,โอ๋,N,29-12-20,
