DATE,HOTEL/FIRM,CODE,"JOB DESCRIPTION",JOB.,QTY,PRICE,AMOUNT,PAPER,COLOR,งานหลังพิมพ์,จำนวนเที่ยววิ่ง,ช่างอาร์ต,เครื่องพิมพ์,ช่างพิมพ์,COOR,NEW/OLD,วันที่เสร็จ,TEL.
12-05-23,"Halfmoon Festival",R,"ใบปลิว ",83640,2100,"4.20*200 / 20*80 / 45*20",10900,"อาร์ต 157g.","น 4 cmyk","P1 2000 / A4 80 / A3 20",,ปัด,"Digital Print",ปัด,ตา,N,12-05-23,
12-05-23,"Sunset Thai Restaurant",,NC,85090,100,4,400,"อาร์ต 300g.","น 4 cmyk ล 4 cmyk",-,,ปัด,"Digital Print",ปัด,ตา,N,12-05-23,
12-05-23,"Jungle Experience",O,Ticket,84554,7000,1.4,9800,"อาร์ต 128g.","น 4 cmyk","เข้าเล่ม 0001-5000 50ใบ/เล่ม / เข้าเล่ม 5001-7000 20ใบ/เล่ม / Bo",,โอ๋,GTO4,แอร์,ตา,N,12-05-23,
12-05-23,"nara cafe",,STK,84595,10,60,600,pp-ด้าน,"น 4 cmyk",-,,ปัด,"Digital Print",ปัด,ตา,N,12-05-23,
12-05-23,"K.หยง และ เหยิน",,การ์ดบวช,85073,500,9,4500,"อาร์ต 300g.","น 4 cmyk",ไม่เอาของ,,ปัด,"Digital Print",ปัด,ตา,N,12-05-23,
12-05-23,"Viva Vacation Resort",H,"STK ตัด Keg Tag",85055,4,75,300,"pvc cream 210 g","น 4 cmyk",-,,โอ๋,"Digital Print",โอ๋,ตา,N,12-05-23,
12-05-23,"Melati Beach Resort & Spa",H,"miscellaneous ",84895,100,70,1000,"เคมี 4 ใบ ขาว-เหลือง-เขียว-ชมพู","น 1 น้ำตาล","ปรุข้าง 3 ใบ No.80001-85000 + เย็บ 50ใบ/ชุด",,PL,"ตัด 5",แบงค์,ตา,O,12-05-23,
12-05-23,"Monlien House",,"captain order",83626,200,50,10000,"เคมี 3 ใบ ขาว-เหลือง-เขียว","น 1 น้ำเงิน","ปรุหัว 2 ใบ No.45001-55000 ล.901-1100 + เย็บ 50ใบ/ชุด",,PL,"ตัด 5",เมฆ,ตา,O,12-05-23,
12-05-23,"บ.โกเซ้ง สมุย จำกัด",O,ใบส่งของ,84853,500,46,9200,"เคมี 3 ใบ ขาว-เหลือง-ฟ้า","น 1 น้ำเงิน","ปรุหัว 3 ใบ No.0001-5000 + เย็บ 50ใบ/ชุด",,โอ๋,"ตัด 5",เมฆ,ตา,O,12-05-23,
12-05-23,น้ำดื่มพอลลิ่ง,O,ใบส่งของ,83646,50,80,4000,"เคมี 3 ใบ ขาว-ชมพู-เหลือง","น 1 น้ำเงิน","ปรุหัว 2 ใบ No.12501-15000 ล.251-300 +เย็บ 50ใบ/ชุด",,PL,"ตัด 5",แบงค์,ตา,O,12-05-23,
12-05-23,"Sweet Sisters Cafe",R,book,85053,1,560,560,"brick 270 g","น 4 cmyk ล 4 cmyk",-,,ปัด,"Digital Print",ปัด,ตา,N,12-05-23,
12-05-23,ร้านน้องสาวผลไม้,O,ใบส่งของใหญ่,83144,20,135,2700,"เคมี 3 ใบ ขาว-ฟ้า-เหลือง","น 1 น้ำเงิน","ปรุหัว 2 ใบ No.001-1000 ล.01-20 +เย็บ 50ใบ/ชุด",,โอ๋,"ตัด 5",แบงค์,ตา,O,12-05-23,
12-05-23,เพชรบัญชา,,"Flyer ",85008,8000,0.90,7200,"อาร์ต 115g.","น 4 cmyk",-,,โอ๋,MO4,โอ๋,ตา,N,12-05-23,
12-05-23,"Coconut Monkey (Master Scuba)",,"Menu ",84731,40,130,5200,"EVT 216 g","น 4 cmyk ล 4 cmyk","เคลือบPVC ด้าน 2ด้าน + ปั๊มพับ ",,โอ๋,"Digital Print",โอ๋,ตา,O,12-05-23,
15-05-23,"ดารานาคี (Awake)",,STK,83629,10,70,700,pp-ด้าน,"น 4 cmyk",-,,ปัด,"Digital Print",ปัด,ตา,N,15-05-23,
15-05-23,"Coco Tam's",R,"ซ่อมMenu ปก",84981,140,80,11200,"pvc cream 210 g","น 4 cmyk ล 4 cmyk","เคลือบPVC ด้าน 2ด้าน + ปั๊มพับ + เจาะรู",,โอ๋,"Digital Print",โอ๋,ตา,N,15-05-23,
15-05-23,Hyatt,,NC,84708,1000,5,5000,"mohawk 270g","น 4 cmyk ล 4 cmyk",-,,ปัด,"Digital Print",ปัด,ตา,N,15-05-23,
15-05-23,Hyatt,,NC,84965,700,4,2800,"mohawk 270g","น 4 cmyk ล 4 cmyk",-,,ปัด,"Digital Print",ปัด,ตา,N,15-05-23,
15-05-23,ธีรศักดิ์คลินิก,O,"opd card ",84722,2000,1.70,3400,"การ์ด 180g","น 1 เขียว ล 1 เขียว",-,,โอ๋,"ตัด 11",ต้น,ตา,N,15-05-23,
15-05-23,"Baan Hin Sai ",H,"Letter Head ",84441,2000,1.45,2900,"ปอนด์ขาว 80g ","น 1 น้ำตาลส้ม",-,,ปัด,GTO,ต้น,ตา,O+R,15-05-23,
15-05-23,เพชรบัญชา,,"มวย 12/4",84997,7000,0.90,6300,"อาร์ต 115g.","น 4 cmyk",-,,PL,MO4,แอร์,ตา,N,15-05-23,
15-05-23,"Baan Hin Sai ",H,ซองจดหมายขนาดเล็ก,84442,2000,2.5,5000,ซองขาว9/125ฝาแนบ,"น 1 น้ำตาลเข้ม ",-,,ปัด,GTO,ศร,ตา,N,15-05-23,
15-05-23,คุณนิตย์,,"การ์ดแต่งงาน ",84998,100,14,1400,"อาร์ต 300g.","น 4 cmyk ล 4 cmyk",-,,ปัด,"Digital Print",ปัด,ตา,N,15-05-23,
15-05-23,"EL Dorado",R,บิลเงินสด,84856,50,40,2000,"ธรรมดา ขาว 70 g","น 1 ดำ","ปรุหัว No.001-5000 +เย็บ 100ใบ/ชุด",,PL,"ตัด 5",แบงค์,ตา,O,15-05-23,
15-05-23,"Kimpton Kitalay Samui",,"food label",84969,4000,0.65,2600,"pp matt","น 4 cmyk",-,,โอ๋,"Digital Print",โอ๋,ตา,O,15-05-23,
15-05-23,Renissance,,กระดาษรองถังขยะวงรี,84972,2000,0.80,1600,"ปอนด์ 80g ",-,ไดคัท+บล็อคเก่า,,นรินทร์,บริการอื่นๆ,นรินทร์,ตา,O,15-05-23,
15-05-23,Renissance,,กระดาษรองถังขยะ,84978,2000,0.80,1600,"ปอนด์ 80g ",-,ไดคัท,,นรินทร์,บริการอื่นๆ,นรินทร์,ตา,O,15-05-23,
15-05-23,Parrot,O,STK,84955,13,60,780,pp-ด้าน,"น 4 cmyk",-,,ปัด,"Digital Print",ปัด,ตา,O,15-05-23,
15-05-23,"Samui Wing",TR,"ใบปลิว A4",83610,200,18,3600,"อาร์ต 157g.","น 4 cmyk ล 4 cmyk",4*50,,PL,"Digital Print",โอ๋,ตา,N,15-05-23,
15-05-23,"Centara reserve",,STK,84315,10000,0.80,8000,pp-ด้าน,"น 4 cmyk",-,,โอ๋,"Digital Print",โอ๋,ตา,O,15-05-23,
15-05-23,"Melati Beach Resort & Spa",H,"environmement card",83064,2000,3,6000,"edixion 300 g","น 4 cmyk ล 4 cmyk",-,,PL,GTO4,แอร์,ตา,O,15-05-23,
15-05-23,"Santiburi Beach Resort",H,"bin card",83776,200,2.35,470,"การ์ดขาว 180g","น 1 ดำ ล 1 ดำ",-,,ปัด,"Digital Print",ปัด,ตา,O,15-05-23,
15-05-23,"Anantara Lawana Resort & Spa",H,"spaconfimation card",83568,2000,1.90,3800,"การ์ดขาว 240g","น 2 น้ำตาล-ดำ ล 1 น้ำตาล",-,,ปัด,"ตัด 11",เมฆ,ตา,N,15-05-23,
15-05-23,"The Ritz-Carlton",H,"Turndown Card",84497,5000,1.2,6000,"olin hight/white 220 g","น 1 ดำ",-,,PL,"Digital Print",เมฆ,ตา,O,15-05-23,
