DATE,HOTEL/FIRM,CODE,"JOB DESCRIPTION",JOB.,QTY,PRICE,AMOUNT,PAPER,COLOR,งานหลังพิมพ์,จำนวนเที่ยววิ่ง,ช่างอาร์ต,เครื่องพิมพ์,ช่างพิมพ์,COOR,NEW/OLD,วันที่เสร็จ,TEL.
17-03-22,kimpton,,Menu,78598,50,15,750,"cx22 h/w 250","CMYK 2 SIDE",ตัด,25,ปัด,"Digital Print",laser,ตา,N,17-03-22,
17-03-22,โรงเรียนสปายกทิพย์,SP,"flyer ",76520,2000,2.5,5000,"ART 157","CMYK 2 SIDE",ตัด,1000,โอ๋,GTO4,laser,ตา,N,17-03-22,
17-03-22,"khun ศักดิ์",,Sticker,78789,22,60,1320,"pp ด้าน","CMYK 1 SIDE",ตัด,22,โอ๋,"Digital Print",laser,ตา,N,17-03-22,
17-03-22,"khun donna",,"card 3*3",79854,6,60,360,"pp ด้าน","CMYK 1 SIDE",กรีด,6,ปัด,"Digital Print",laser,ตา,N,17-03-22,
17-03-22,"thai curry",,Menu,78784,33,20,660,"pp ด้าน","CMYK 1 SIDE",กรีด,33,โอ๋,"Digital Print",laser,ตา,N,19-10-22,
17-03-22,"Acacia Woods",O,"ป้าย sale",78025,8,50,400,"ART 300","CMYK 1 SIDE",ตัด,8,ปัด,"Digital Print",laser,ตา,N,17-03-22,
17-03-22,"Silavadee Pool Spa Resort",H,"miscellanous voucher ",78874,50,90,4500,"เคมี 4 ใบ ขาว ชมพู ฟ้า เหลือง","1 สี คื เทา","รันเลขที่ 110001-112500/ ปรุ 3 ใบ",5000,PL,"ตัด 5",เมฒ,ตา,N,17-03-22,
17-03-22,"U Samui",,"Envelope Logo a4",78808,953,11,11000,"cug 118 g ","2 สี คือ ดำ ม่วง","ไดคัท ประกอบติดกาว",1000,ปัด,MO4,ศร,ตา,N,17-03-22,
17-03-22,"U Samui",,ใบเสร็จรับเงิน/ใบกำกับภาษี,78822,40,162.5,6500,"เคมี 4ใบ ขาว เขียว เหลือง ฟ้า ","2 สี ใบแรก ม่วง ดำ /ใบ2-","รันเลขที่ 0001-2000/ล.001-40 ปรุ 3 ใบ",10000,ปัด,"ตัด 5","เมฒ ตู่",ตา,N,17-03-22,
17-03-22,"U Samui",,ใบเสร็จรับเงิน,78821,40,162.5,6500," เคมี 4 ขาว เขียว เหลือง ฟ้า","2 สี ใบแรก ดำ ม่วง/ใบ2-4","รันเลขที่ 0001-2000/ล.001-40 ปรุ 3 ใบ",10000,ปัด,"ตัด 5",ตู่,ตา,N,17-03-22,
17-03-22,"rin beach tour & traval",,Ticket,78764,20,75,1500,"ปอนด์ 80แกรม","1 สี คือ ดำ","รันเลขที่ 0001-1000/ล.001-20 เข้าเล่ม 50 ใบเล่ม ปรุ 1 จุด ตีเบอร",500,โอ๋,"ตัด 5",เมฒ,ตา,N,17-03-22,
17-03-22,"Coco Tam's (Peppina)",R,Menu,78654,70,480,33600,"pvc white  210 g","CMYK 2 SIDE","matt pvc 2  side /ปั๊มพับ/เย็บมุงหลังคา",720,โอ๋,"Digital Print",laser,ตา,N,17-03-22,
17-03-22,"White whale villa",,กระดาษรองจาน,78929,1000,3,3000,"คราฟน้ำตาล 110แกรม","1 สี คือ ดำ ",ตัด,1000,ปัด,GTO,แอ้,ตา,N,17-03-22,
17-03-22,"U Samui",,"environment card  don t chage towel",78812,100,50,5000,"พลาสติก pvc 3 mm","CMYK 2 SIDE","สั้งทำ st card ",,ปัด,บริการอื่นๆ,"ส่ง กทม ",ตา,N,17-03-22,
17-03-22,"U Samui",,"environment don t chage bed sheet",78810,100,60,6000,"พลาสติกบาง pvc 3mm","CMYK 2 SIDE","ส่งกทม st card  ",,ปัด,บริการอื่นๆ,"ส่ง กทม ",ตา,N,17-03-22,
17-03-22,"sleep enemy",,"supply sticker",79862,90,60,5400,"pp ด้าน","CMYK 1 SIDE",กรีด,90,โอ๋,"Digital Print",laser,ตา,N,17-03-22,
17-03-22,"sleep enemy",,Sticker,78898,70,60,4200,"pp ด้าน","CMYK 1 SIDE","ไดคัท Inkjet",70,โอ๋,"Digital Print",laser,ตา,N,17-03-22,
17-03-22,"khun bow",,"Post card  ",79858,50,60,3000,card300แกรม,"CMYK 1 SIDE",ตัด,50,ปัด,"Digital Print",laser,ตา,N,17-03-22,
17-03-22,"ฮักสมุย (Hug Samui)",R,Menu,79861,6,150,900,"ART 300","CMYK 2 SIDE",พับเครื่อง,,โอ๋,"Digital Print",laser,ตา,N,17-03-22,
17-03-22,"Chaweng Cove Beach Resort",H,"ใบปลิว A5",79855,2000,2.1,4200,"art 128","CMYK 2 SIDE",ตัด,1000,ปัด,GTO4,แอ้,ตา,N,17-03-22,
