DATE,HOTEL/FIRM,CODE,"JOB DESCRIPTION",JOB.,QTY,PRICE,AMOUNT,PAPER,COLOR,งานหลังพิมพ์,จำนวนเที่ยววิ่ง,ช่างอาร์ต,เครื่องพิมพ์,ช่างพิมพ์,COOR,NEW/OLD,วันที่เสร็จ,TEL.
25-09-24,"The Fair House Beach Resort & Hotel",H,"Vinyl 1 x 2 m. /1.5 x 3 m.",01955,1-1,"600-1200 นอก",1800,Vinyl,"น 4 cmyk",ตอกตาไก่,,โอ๋,อิ้งเจ็ท,ต้อม,สาว,N,25-09-24,
25-09-24,"Maleena Bike Samui",,สัญญารถเช่า,90473,10,"280 ใน",2800,"เคมี 2 ใบ ขาว ชมพู","น 1 ดำ","รันเลขที่001-500 ปรุหัว 1 ใบ เย็บ 50 ใบ/ชุด",,Pl,"ตัด 5",เดียร์,สาว,N,25-09-24,
25-09-24,"Elephant Care Samui",TR,ใบกำกับภาษี,90616,50,"100 นอก",5000,"เคมี 3 ใบ ขาว ชมพู ฟ้า","น 1 ดำ","รันเลขที่001-2500/ล.01-50 ปรุหัว 2 ใบ เย็บ 50 ใบ/ชุด",,โอ๋,"ตัด 5",เมฆ,สาว,N,25-09-24,
25-09-24,ร้านอาหารท่าเรือ,,"Drink Order",91280,200,"38 นอก",7600,"เคมี 2 ใบ ขาว ฟ้า ","น 1 น้ำเงิน","รันเลขที่50001-60000 ปรุหัว 2 ใบ เย็บ 50 ใบ/ชุด",,Pl,"ตัด 5",เดียร์,สาว,N,25-09-24,
25-09-24,"Seen Beach Club",H,"Miscellaneous Charge",90573,50,"75 นอก",3750,"เคมี 3 ใบ ขาว ชมพู ฟ้า","น 1 ดำ","รันเลขที่5001-7500/ล.101-150 ปรุข้าง 2 ใบ เย็บ 50 ใบ/ชุด",,Pl,"ตัด 5",เมฆ,สาว,N,25-09-24,
25-09-24,"OK Fitness",,"บัตรรายเดือน / บัตรราย 10 วัน",91762,300-200,"4 ใน",2000,"การ์ดขาว 240g.","น 4 cmyk ล 4 cmyk",-,,โอ๋,"Digital Print","laser ",สาว,N,25-09-24,
25-09-24,Maraleina,,"Name Card K.Marcelo Fonseca / เข้าเล่มสันกาว",91758,100-2,"3.5-200 นอก",750,"อาร์ตมัน 300g.","น 4 cmyk ล 4 cmyk",-,,โอ๋,"Digital Print","laser ",สาว,N,25-09-24,
25-09-24,"Four Seasons Resort",H,"Sticker Opened On",91219,1000,"0.6 นอก",600,"Sticker PP","น 4 cmyk",-,,โอ๋,"Digital Print","laser ",สาว,N,25-09-24,
25-09-24,"Piece And Love",,"Sticker Logo",90989,6,"65 ใน",390,"PP ด้าน","น 4 cmyk",-,,ปัด,"Digital Print","laser ",สาว,N,25-09-24,
25-09-24,"Centara Reserve Samui",,"Sticker Safety Seal Still Water",90915,19500,"0.9 นอก",17500,"PP ด้าน","น 4 cmyk",-,,โอ๋,"Digital Print","laser ",สาว,N,25-09-24,
26-09-24,K.Julia,O,"Print Photo Paper A2 ",01972,1,"250 ใน",250,"Photo Paper","น 4 cmyk",-,,โอ๋,อิ้งเจ็ท,ต้อม,สาว,N,26-09-24,
