DATE,HOTEL/FIRM,CODE,"JOB DESCRIPTION",JOB.,QTY,PRICE,AMOUNT,PAPER,COLOR,งานหลังพิมพ์,จำนวนเที่ยววิ่ง,ช่างอาร์ต,เครื่องพิมพ์,ช่างพิมพ์,COOR,NEW/OLD,วันที่เสร็จ,TEL.
04-11-24,"Kamalaya Koh Samui",H,"Wellness Consulation Card",91861,2100,"2.4 นอก",5040,"Rive Tradition Natural White 170g.","น 4 cmyk ล 4 cmyk",-,,Pl,GTO4,แอร์,สาว,N,04-11-24,
04-11-24,คุณกวาง,O,"Print Colour A3 Sticker",91322,7,"60 ใน",420,"Sticker ขาวด้าน","น 4 cmyk ",-,,โอ๋,"Digital Print","laser ",สาว,N,04-11-24,
04-11-24,"Carrot & Pumpkin",,"Print Colour A3 Sticker",91341,3,"210 ใน",210,"Sticker PP","น 4 cmyk ",ไดคัท,,แตงโม,"Digital Print","laser ",สาว,N,04-11-24,
04-11-24,"KOB 1",,"Print Colour A3 Sticker",91316,80,"45 นอก",3600,"PP ด้าน","น 4 cmyk ",-,,โอ๋,"Digital Print","laser ",สาว,N,04-11-24,
04-11-24,"Sunset Gel",,"Print Sticker Sunset Gel",91455,500,"0.75 ใน",375,"Sticker PP ใส","น 4 cmyk ",-,,แตงโม,"Digital Print","laser ",สาว,N,04-11-24,
04-11-24,"Rocky Resort",,"Print Sticker Logo",90585,5000,0.45,2250,"Sticker PP Matt","น 4 cmyk ",-,,โอ๋,"Digital Print","laser ",สาว,N,04-11-24,
04-11-24,"Valentine Village",,"Catalog Book",91383,10,"137 ใน",1370,"อาร์ต 300g.","น 4 cmyk ล 4 cmyk","เคลือบปก PVC ด้าน 2 ด้าน เย็บมุงหลังคา",,ปัด,"Digital Print","laser ",สาว,N,04-11-24,
05-11-24,"Samsa Samui (K.Nika)",,"Vinyl ธงญี่ปุ่น 140 x 200 cm.",03070,1,"1640 ใน",1640,Vinyl,"น 4 cmyk ",-,,โอ๋,อิ้งเจ็ท,ต้อม,สาว,N,05-11-24,
05-11-24,"Seen Beach Club",H,"Backlite 92 x142 cm.",03065,4,"1600 นอก",6400,"Backlite ","น 4 cmyk ",-,,โอ๋,อิ้งเจ็ท,ต้อม,สาว,N,05-11-24,
05-11-24,"Kimpton Kitalay Samui",,"Print Photo Paper 50 x 60 cm.",03067,1,"200 นอก",200,"Photo Paper","น 4 cmyk ",-,,แตงโม,อิ้งเจ็ท,ต้อม,สาว,N,05-11-24,
05-11-24,Marasca,,"Print Photo Paper 60 x 90 cm. Cabanas Koh Samui",03068,1,"350 นอก",350,"Photo Paper","น 4 cmyk ",-,,แตงโม,อิ้งเจ็ท,ต้อม,สาว,N,05-11-24,
05-11-24,"Orange Wave Water Sports",O,"Brochure 3 พับ",91326,10000,"2 นอก",20000,"อาร์ต 157g.","น 4 cmyk ล 4 cmyk",พับ,,Pl,MO4,"ศร + แอร์",สาว,N,05-11-24,
05-11-24,"Kamalaya Koh Samui",H,"Letter Head A4",91319,3000,3000,13200,"Laid H/W 100g.","น 4 cmyk ",-,,Pl,MO4,"ศร + แอร์",สาว,N,05-11-24,
05-11-24,"Burirasa Phangan",,"Miscellaneous Charge",91303,100,"100 นอก",10000,"เคมี 4 ใบ ขาว ชมพู เขียว เหลือง","น 1 น้ำตาล","รันเลขที่105001-110000 ปรุข้าง 3 ใบ เย็บ 50 ใบ/ชุด",,Pl,"ตัด 5",เมฆ,สาว,N,05-11-24,
05-11-24,"ครัวชาวบ้าน (ร้านอาหาร)",R,"ใบเสร็จรับเงิน ",91314,100,"50 นอก",5000,"ธรรมดา 2 ใบ ขาว บรุ๊ฟ","น 1 ดำ","รันเลขที่80001-85000/ล.1601-1700 ปรุหัว 1 ใบ เย็บ 50 ใบ/ชุด",,Pl,"ตัด 5",เดียร์,สาว,N,05-11-24,
05-11-24,Hyatt,,"Chistmas Card/ New Year Card",91355,150-150,"10 นอก",3000,"RDV  270g.","น 4 cmyk ล 4 cmyk",-,,ปัด,"Digital Print","laser ",สาว,N,05-11-24,
05-11-24,"My Cafe's & Restaurant",,"กระดาารองขนม /Print Colour A3",91340,1000-20-1,"2-60-50 นอก",3250,"Grase Proof เกรดฟู๊ด","น 1 เทา",,,Pl,GTO,ต้น,สาว,N,05-11-24,
05-11-24,"Sweet Sisters Cafe",R,"Print Colour A3 Sticker",91535,6,"70 นอก",420,"PP ด้าน","น 4 cmyk ",-,,ปัด,"Digital Print","laser ",สาว,N,05-11-24,
05-11-24,"Samui Garden ",,"Print Booklet  A5",91852,50,"75 นอก",3750,"อาร์ต 157g.","น 4 cmyk ล 4 cmyk","ปั๊มพับ + เย็บมุงหลังคา",,แตงโม,"Digital Print","laser ",สาว,N,05-11-24,
06-11-24,"Samui Motorsland",,Vinyl,01743,1-2-1,"950-300-140 นอก",1690,Vinyl,"น 4 cmyk ",-,,โอ๋,อิ้งเจ็ท,ต้อม,สาว,N,06-11-24,
06-11-24,"Punnpreeda Beach Resort",H,"Vinyl 60 x 80 cm.",01599,2,"150 นอก",300,Vinyl,"น 4 cmyk ",-,,แตงโม,อิ้งเจ็ท,ต้อม,สาว,N,06-11-24,
06-11-24,"Banyan Tree Samui",H,"Print Sticker + Plasswood 40 x 60 cm.",01746,350,"350 นอก",350,"Sticker ขาวด้าน","น 4 cmyk ",-,,โอ๋,อิ้งเจ็ท,ต้อม,สาว,N,06-11-24,
